transcription;language;emotion;model_transcription
Look at this sorry, miserable, squashed thing.;en;sadness;look at this sorry miserable squash thing
Can anybody tell me what's wrong with this picture?;en;neutral;cin anybody telling what's wrong with this picture
Well, [non-verbal], let's see.;en;neutral;well o lets see
On my sixth birthday, my best friend at the time, Scott Tibbs, stabbed me with a rusty nail.;en;sadness;on my sixth breurthday my best friend ot the time scott tib stabb me with a rusty nailye
What I saw was you get into your car. That's it.;en;surprise;what i saw was you get into your car that's it
I don't know how I got here, I don't know how you got here.;en;surprise;i don't now how i got here i dont know how you got here
Really? Obviously this cop thinks you are the one behind it all.;en;surprise;obviously this cop thinks you're the one behind it all
I keep regular office hours if there's any further information you might need on sayings, common phrases ...;en;neutral;i keep a regular office hours if there's any further information you might need on sayings common phrases
My door's wide open.;en;surprise;my door is wide open
Well, I'll make a note of it. Anything else I can do for you?;en;neutral;well i'm maki a ot of it anything else i can do for you
You include me out. I've had enough of the convocations.;en;neutral;you include me ot i've had enough of the convications
And it seems you do too.;en;surprise;and it seems youto too
Mother, I'm a very busy man.;en;sadness;mother i'm a very busy man
I do not have time to help ... it pursue some ridiculous lawsuit.;en;anger;i do not have time to help pursue some ridiculous lawsuits
Well, that's mutation, Mother. The miracle of genetics is I'm not you.;en;neutral;well that's mutation mother the miracle of genetics is i'm not yo
So you'd be gone for quite a long time.;en;neutral;so you'd be gone for quite a long time
I live with you. I know how much you study, or I should say don't study. And you do better than me.;en;joy;i live with you i know much you study or i should say don't study and you do better than me
I will save lives that could have otherwise not been saved.;en;joy;i will saved lives tat oul have otherwise not been save
You know, maybe I am. But you ask the average person ...;en;neutral;maybe i am but you as the average person
When death comes knocking at their door ... whether they want a prick on their side.;en;fear;when death comes knocking at ther door will they want a pricke on their side
Is it because your father was a doctor and his father was a doctor, some sort of genetic thing?;en;neutral;it's because your father was adoptor and his father ws adoctor some sorta genetic thing
People are good. Trust people?;en;neutral;people good trust people
Maybe you got a bunch of fat and happy fighters at home ... can afford to rest a month between bouts. I don't know. Lucky you! ;en;joy;maybe you got a punch of fat and happy fighters at home can afford the rest of the month between bouts i don't know lucky year
Saddam. His, his name's Saddam? Well that's, that's real good Bruce.;en;neutral;sudamhis name sit up allhes that's  that's real good bruce
I misplaced an important complaint. That's their story.;en;anger;i misplaced an important complaint that's their story
Wanna hear mine?;en;neutral;wanton her mine
He's an idiot.;en;neutral;he's needed
He's always been an idiot.;en;anger;he's always been an idiot
Great. Thanks.;en;joy;rit funks
Wish me luck.;en;neutral;whish me luck
On for a video fest tonight?;en;joy;ium for a video fest tonight
I got some absolute classics.;en;joy;i got some absolute classics
Come on, one dance!;en;neutral;come o on dance
You told me every other fucking thing.;en;neutral;you told me everyother faconed thing
Everybody has their own idea of what they think paradise is. [non-verbal];en;neutral;everybody has their own idea what they think aridice is
Relax, it's okay. There is no point in being nuts if you can't have a little fun.;en;joy;reaxso case i's no point in being nuts and yeu can have a little fun
Gee, I love you guys.;en;joy;i love you guy
For the first time in eighteen years I'm going to be able to call the shots in my own life. Oh my God!;en;surprise;for the first time in eighteen years i'm going people to call the shots in my own life oh my god
Well, as often as they can.;en;neutral;well as often as they can
Jesus H. Christ!;en;neutral;gees saint christ
Jesus, Mary and Joseph!;en;neutral;she is jes marryang joseph
You know, I might as well get an Ahooga horn and chase him around the ring.;en;neutral;i might as well get nhe ogohorn and chase him around the ray
You think because of that, the audience won't recognize him as being a black man?;en;surprise;you think because of that the audience won't recognize him as being a blackmick
Mr. Wheeler, you are magnificent.;en;neutral;mr wheel ar you are magnificen
I get your logic. Demi-capu coming right up.;en;neutral;oloic demmi kapu coming right home
That's some of the best shit I've ever heard come out of your mouth.;en;joy;some of the best hit iv ever heard glattier mat
Give the guy a break.;en;neutral;het  guy a brake
I don't know. The girls like it.;en;neutral;non other girls like it
Is that any way to talk to a guest? A friend of the family?;en;neutral;only way to talk to a guest a friend of he family
Fucking A. Back from the dead.;en;neutral;punkin e back from the ded
Fifty fucking pounds, man.;en;joy;fifty fakin pounds man
I'm telling you, man, this kid is awesome as hell.;en;surprise;i'm talar you man this kid is soi hell
I lost count, man.;en;sadness;a lost count me
Doesn't matter, man.;en;joy;then merry me
Make that second most beautiful invention!;en;joy;hik that's nothing norse preautiful invention
I'd feel a bit of a fool handing it over myself.;en;anger;va fool handing it over myself
[non-verbal] I just use it for clean-up.;en;neutral;having on the edding edges use it for the fer cleanup
[non-verbal] I gotta go see about a girl.;en;joy;i got to goce about a girl
Everybody has their own idea of what they think paradise is. [non-verbal];en;neutral;everybody has their own idea what they think paradice is
The wife thinks it's paradise.;en;joy;e wife think s it's paradise
So I shared that with you.;en;neutral;so has sheed
And one night it was so loud it woke the dog up.;en;surprise;one ight it was so loud it wolked the doge
Well, like I say, they make me ask. You understand.;en;neutral;well like i say they make me ask you understand
A walk!;en;joy;i walk
Is that all? Just a walk.;en;neutral;is at alljust the walk
You've tried to kill yourself twice.;en;anger;yo've tried to kill yourself twice
It was done for you!;en;neutral;it was done for you
It was done for your betterment!;en;neutral;it was done for your bettamac
It was done out of love!;en;surprise;it was turned outo love
And it fucking pisses me off!;en;neutral;and a bucken pesses me off
Shut the fuck up!;en;neutral;don't wark thup
This is my daughter I'm talking about!;en;disgust;this is my daughta what's talking about
Everybody shut up!;en;neutral;everybody's shellot
Shut up!;en;neutral;show up
Why the hell did you think I was there?;en;surprise;why then did you think i was there
Tell me, I'm asking: 'What is there to understand?';en;anger;tell me i'm asking what is that toinstand
Why do you think he does that, Gerry? Do you have any fucking clue why?;en;anger;why do you think he does that jerry give any fuck on clue y
It's not about you, you mathematical dick!;en;anger;t't's not about you you mathematical dick
He is a good kid!;en;joy;he's a good kid
Did you hear me? Shut up!;en;surprise;the eerme shot up
Now you either tell me what is really going on or I'll cut you with this, you hear me? I'll cut ...;en;surprise;now you nether tell me what is really going on rot kochu with this you hear me elpcuk
Well then don't keep me in the dark about what you're thinking!;en;neutral;wel then don't keep me in the dark about what you're thinking
Does that mean you saw what happened to me?;en;neutral;that mean you saw wat happened to me
You goddamn well should!;en;anger;they cat them mor shot
Yes!;en;neutral;yes
I don't care if you love him!;en;joy;i don't care if you love him
I'm telling you!;en;joy;i'm telling you
There's a bus full of dead people!;en;surprise;is's a possful in ten people
Who? Someone you know?;en;surprise;hoh someone you know
No, you didn't tell me.;en;surprise;hat you didn't tell me
I don't like you!;en;sadness;i don't like you
Because you make my effort a joke!;en;joy;because you make my effort a joke
I want to be a doctor! This isn't a game to me!;en;sadness;i want to be a doctor this isn't a game to me
This isn't playtime!;en;neutral;this isn't playtime
This is serious business!;en;anger;this is serious business
How hard can that be?;en;surprise;how hard can that be
Fights being stopped by referees? He's pathetic!;en;sadness;fight being stopped by referees he's pathetic
What does that mean?;en;neutral;es that mean
If she's not guilty, why am I?;en;anger;if she's not guilty why am i
Makes you feel ...;en;neutral;she bils up
... alian.;en;neutral;we w'll leas it
You know, after ...;en;neutral;ou not il have tero
... then I ever was of being in ...;en;surprise;never was a bin
I loved her.;en;joy;i loved her
When we were sitting in that kitchen that night ...;en;fear;we were sitting in that kitchen at night
I don't want it.;en;fear;i warn it
She had to go meet Eve and Diane.;en;neutral;l are to kilp me eve and d i hap
We were gonna leave Sunday.;en;sadness;h o l leave sun day
We were gonna get married when we got there.;en;neutral;were you gonto get married when weeg up
I loved her so much.;en;neutral;lovet her somebony
It doesn't happen twice.;en;neutral;he oesn haptene twice
But now she wants to die.;en;sadness;but now she was to die
And I swear to God, Father ...;en;surprise;an iswot a godfather
It's comitting a sin by doing it.;en;anger;it's committing a sin by doing it
By keeping her alive I'm killing her.;en;anger;ly keeping her alive i'm killing her
Do you know what I mean?;en;neutral;ths of te prat
How do I get around that?;en;neutral;li at wy get around that
Went to see Maggie this morning.;en;surprise;i went to see menga this point
You must have been somewhere else.;en;neutral;you must havebeen somewhere else
But maybe you won't sign them.;en;sadness;maybe you wan sin
Maybe you'll just give me some time.;en;neutral;ef you'l just give me some time
I will try to figure this out.;en;neutral;and i will try to figure this out
Whatever you do, Rosen is right about one thing.;en;neutral;whatever you do rosen is right about one thing
You shouldn't be here.;en;sadness;you shouldnt be here
I'm not safe anymore.;en;sadness;i'm not safe any more
You have a gift.;en;joy;you have a gift
You know, they like you.;en;joy;they like you
And if you leave, I can't learn this way.;en;neutral;and if you leave icandern this way
Couldn't help that one.;en;sadness;codn't help that one
And he can't stop thinking about Annie.;en;neutral;tand he can't stop thinking about any
Ever since then, things have been different.;en;neutral;hever since then things have been different
He is not the same person that he used to be.;en;neutral;he is not the same person at he used to be
And his wife ... doesn't like the person that he's become.;en;anger;and his wife doesn't like the person that is bom
And then one day Malcom meets this wonderful little boy.;en;joy;and then one day malcom meets this wonderful little boy
And Malcom decides to try and help this new boy.;en;neutral;and malcolm decides to try and help this new boy
Cause he feels that ...;en;sadness;she feels tad
... it would be like ... helping that other one too.;en;neutral;be ike helping another one too
You have to understand. When I was growing up, he was gone more than he was there.;en;neutral;yuhaf to understand when i was growin up he was gone more than he was there
Maybe he never wanted a family.;en;neutral;maybe he never wanted a family
Whatever it is, he likes his second life ...;en;neutral;whatever is he likes his second life
... better and the reason that he tells his stories is because he can't stand this boring place.;en;anger;tter in reason that he tells yus storiesis because he can't stand this borin place
What's true?;en;surprise;what's true
No sé lo que me pasa, lo siento.;es;neutral;an odenonoselo can be past a luciento
Lo siento, he sido muy grosera.;es;neutral;in loceento se the wiglo set
Es como si tuviera un presentimiento, ¿sabes a qué me refiero?;es;neutral;stuerum presentimentors have a secumera theate
No me toques, por Dios.;es;neutral;mr kasporti horses
Sí, pero llegaban otras, llegaban mujeres constantemente así que ...;es;neutral;the gave notras thegaver mohers costantmentek
No lo sé. Estaba envolviendo unos ... unos vasos y unas cosas y ...;es;neutral;stepen bolbn te  onors baters en is cotarsy
Me ha … me ha entrado mucho miedo.;es;neutral;mayly di  wonch on mee
No harás lo de la mudanza solo por mí, ¿verdad? En fin ...;es;neutral;neras lodelamo dancers sol uppor me bta n fin
Tú... tú deseas realmente hacerlo, ¿no?;es;neutral;to the same real mentferlono
Por favor, háblame, dime qué ha pasado.;es;neutral;for  faborablame dhe make a pasado
No estoy ... no estoy mintiendo. Fuí a pedirle ayuda.;es;joy;sly nversitery meintine the fia pethis lejud
No puedo decírtelo. Harían daño a alguien.;es;neutral;nopotho the ceftello ari and danio algien
¿Quién es usted?;es;neutral;hin is uste
Yo me había acostado con él y estaba sentada en el porche.;es;neutral;you met me akustaf cornell hes tofs infervenal bodcy
Nunca se calla. Se mete en líos.;es;neutral;no kasikata submit ten leos
Pasaba todas las noches en Hooverville.;es;neutral;asavatodas last noches and huberbe
Mi hermano no tenía sitio para los dos.;es;neutral;mirmano notenia cit yo parallels dos
Mike dijo que si no había más remedio y tenía que vivir allí. ;es;neutral;sinhavia masa e akbibiagin
Intentaría convencer a todos para que se organizaran.;es;neutral;tentaria compensarea toto spataceso organitar
Le ha pasado algo a Jim, estoy segura.;es;neutral;lapasado algogem his te siulder
He oído que ha habido disturbios en Hooverville.;es;neutral;eidocapita thes two up yused in cover pil
No pasaría tanto tiempo sin vernos a mí y a la niña.;es;neutral;nopesary attempted theimposinbernos mejelanin
No sabía a quién acudir, Jim.;es;neutral;pa kinnot cos ereim
Porque no creía que hubiese motivo.;es;neutral;borcannokr here yo bia sa motivl
Era ... y no sabía lo que significaba.;es;neutral;nosabyaloca signifie cap
Pero es imposible.;es;neutral;still possibly
El señor nunca permitiría semejante aberración.;es;disgust;the senior non caparitii has effecant eea fel
Sólo se reunirán al final de los tiempos.;es;neutral;e opoofy unly had her fenale cris capers
No era ella.;es;surprise;nowed i hit it
Era esa anciana.;es;neutral;at it i a santhiana
De ojos extraños estaba imitando la voz de mi hija.;es;joy;the hoccosastranio sistem i metan thola pot the bees
Le juro por Dios que no era mi hija.;es;neutral;le coat of porpsers kan novehit a bi
La guerra ha acabado.;es;neutral;lackin ten coper
¿Decir que es una quejica para ti no es meterte con ella? Creo que sí. ;es;neutral;the circu is un a kehica palatinus maeconea reocacy
Vaya, que raro.;es;neutral;maja kerrero
Genial.;es;neutral;coeny
En recursos humanos tienen un sentido del humor muy raro.;es;neutral;in tecorseo somano statews intodloormade
Yay, whoopee.;es;neutral;a inyo p
Has tropezado y te has golpeada la cabecita contra la acera.;es;neutral;astorpitato it just gold beoter locavethita contralatheta
 Una sola copia.;es;neutral;ona sola copya
¿Qué harán mis gemelas con esto?;es;neutral;mscamelles contes to
¿Compartirlo?;es;neutral;compartierela
"
¿Hay alguien que tenga algo que yo pueda usar?";es;neutral;katenga'll go kit yu up withousar
Lloyd, cariño, te quiero con toda mi alma ...;es;neutral;lloyd continued the gero contor te mialm
Pero a veces tengo que preguntarme si realmente eres mi hijo.;es;neutral;inoapit singokbregun an messur reelm the eres mco
Siempre has sido más como tu padre.;es;joy;simpria sithum has come  to padry
Puede darme la pistola o devolverme el dinero.;es;neutral;powetet ar mila pistola or the polveramal dinaro
La verdad es que prefiero recuperar el dinero.;es;neutral;laberteska prefero recoperar is dimnato
¿Me da la caja sí o no?;es;neutral;midalakahars you know
Nos iban a matar en ventura boulevard.;es;neutral;not even amatar in bentura bol
Mi padre es de Puerto Rico, mi madre es de El Salvador.;es;neutral;me pathre is the puerto rico me mother is the salvador
Y ningún sitio de esos es México.;es;neutral;in engon city there searces hes mecico
 No lo sé. ¿No está enferma?;es;neutral;nolo ay no stime firme
Creía que los enfermos se inventaban cosas a menudo.;es;sadness;i can lost enfirmos inventabankosas saminos
¿Por qué compra esta tierra, Sr. Bloom?;es;neutral;for ki compresed tha tearas in your bloom
¿En vez  de comprarse un descapotable, se compra un pueblo? ;es;neutral;ebethe comn thes capotably secompr weble
Estoy a favor de la paz, Sr. Lud. Por eso estoy en la ONU. Para apoyar la diplomacia.;es;neutral;historia avored the lapath senor lad porished wstujon lahonu para pojatla diplomatia
No era una pregunta.;es;neutral;no t  na pr gunte
Y tú puedes hacer lo todo, ¿no?;es;neutral;it wetis aftirlototo  know
Pero si ya lo hiciste.;es;neutral;it was is yap with yisday
Y antes de hoy, ¿no habías oído nunca hablar de mí? ;es;neutral;he entes the oina bea soithe num kablar the my
¿Se ha muerto, o qué?;es;neutral;seam wore talke
Una vez un ayudante dejó su mesa porque se rebanó la mano con un abrecartas.;es;neutral;ona reton ajudante the hosso mesaprociser revanolamano con knownaber gartes
Jamás creí que diría esto.;es;neutral;a maskarekue a te heer is
Oh, os habríais librado de que los romanos os cortaran la cabeza, claro. ;es;neutral;om was sabries ly brother of the kolos romanososcoptoran da capetha clada
¿Así que los dos habríais mentido hasta el punto de negar a Cristo?;es;neutral;a s cleostos ablasement tato a stall pun otenegara crist
