transcription;language;emotion;model_transcription
È sempre stato il mio nome preferito.;italian;happiness; Adesso è sempre stato il mio nome preferito!
E solo che … [non-verbal];italian;happiness; Eh solo che... beh!
Che splendida idea.;italian;happiness; Di splendida idea!
Ah questa casa! È questa casa che mi prende.;italian;happiness; Questa casa! È questa casa che mi prende!
Uno che lavora qui mi sembra un po' strano.;italian;happiness; uno che lavora qui mi sembra un po' strano.
Qui c'è qualcosa che mi ricorda la bambina che ero e che non mi ha mai abbandonata.;italian;happiness; Qui c'è qualcosa che mi ricorda la bambina che ero e che non mi ha mai abbandonata.
Di quei che parlavano in latino.;italian;happiness; Dicco anche parole in latino.
Non cominciare a vantarmi le meraviglie di quella schifezza. Io ti odiavo allora.;italian;happiness; Non cominciare a vantarmi le meraviglie di quella squinzietta. Io ti odiavo allora.
Oh, credevo parlarsi del giudice.;italian;happiness; Credevo parlassi del giudice.
Avevo ragione.;italian;happiness; Avevo ragione!
Grazie tante.;italian;happiness; Grazie tanto!
Avanti, calmati.;italian;happiness; Avanti, Calmatica.
Sei splendente come un panno illustrato.;italian;happiness; Sei splendente come un penne illustrato!
Credevo che fossi prestato ad un amore tempestoso.;italian;happiness; Credevo che fossi presa da un amore tempestoso!
Mio Dio guarda, mi sono ricoperta.;italian;happiness; Mio Dio, guarda mi sono ricoperta, ricoperta!
CioÈ, tutto qua.;italian;happiness; tutto qua.
No! [non-verbal] Sí! ;italian;happiness; no! sì!
[non-verbal] bene.;italian;happiness; Be'
Stai arteggiando qualcosa.;italian;happiness; Stai architettando qualcosa?
È un fochettone da cucina.;italian;happiness; È un pochettone da cucina!
Che cosa hai detto.;italian;happiness; Che cosa è questo?
Solo le bimbettine con i boccoli d'oro.;italian;happiness; solo le bimbettine con il boccolino d'oro.
Buon compleanno!;italian;happiness; Buon compleanno!
Bastardo!;italian;anger; BASTARDO!
Un dovere come questo Leonard non esiste.;italian;anger; Un dovere come questo, Leonard, non esiste.
Sono dovunque si prendono cura di me dei dottori che mi comunicano cosa è meglio nel mio interese.;italian;anger; Sono dovunque si prendono cura di me e dei dottori che mi comunicano cosa è meglio nel mio interesse.
Io muoio se resto ancora qui.;italian;anger; Io muoio e sarò stancata qui!
Dite così. No! questa è la mia!;italian;anger; Ti dico di no, questa è la mia!
I giornalisti Inglesi stamattina si svegliano e pensano: ‘Io lo so dove si trova Anna Scott’.;italian;anger; I giornalisti inglesi stamattina si svegliano e pensano io lo so dove si trovano a scottare
È in quela casa col portone blue a Notting Hill.;italian;anger; E in quella casa col portone blu a nothing hill
E poi te ne vai fori con quelle maledette mutande.;italian;anger; E fai dove hai fori con quelle maledette mutande!
Santo Dio. Io ho un fidanzato.;italian;anger; Sant'Oghi, io io ho un fidanzato!
E ora da domani ci saranno foto di te su tutti i giornali da qui a Timbuktu.;italian;anger; E ora da domani ci saranno foto tue su tutti i giornali da qui a Timbuktu!
Certo, per te una situazione perfetta, vero?;italian;anger; Certo, per te è una situazione perfetta, vero?
Minimo imput massima pubblicità.;italian;anger; Minimo input, massima pubblicità!
Dovunque andrai la gente dirà. Oh, complimenti a te, sei andato a letto con quell'attrice.;italian;anger; Dovunque andrai la gente dirà, oh, complimenti a te, sei andato a letto con quell'attrice.
Abbiamo visto le foto.;italian;anger; abbiamo visto le foto
Ti rendi conto ch’è la cosa più preziosa che possediamo.;italian;anger; Ti rendi conto che è la cosa più preziosa che possediamo?
Io voglio saperlo adesso, quando diavolo vine casa. Adesso!;italian;anger; Io voglio saperlo adesso quando diavolo viene a casa! Adesso!
Non provare a toccarla.;italian;anger; Non provare a toccarla!
Corri qualche rischio. Fai qualche errore!;italian;anger; Corri qualche rischio, fai qualche errore!
Per scoprire cosa è reale e cosa non lo è. Per scoprire quello che tu provi.;italian;anger; Per scoprire cosa è reale e cosa non lo è, per scoprire quello che tu provi!
Niente box fuori casa. Capito.;italian;anger; Niente box fuori casa, capito?
Niente box. Punto e basta.;italian;anger; Niente box punta basta!
Voi andate a scuola.;italian;anger; Voi andrete a scuola!
E andrete all'università e avrete una professione.;italian;anger; e andrete all'università e avrete una professione!
Perché non vi farete sfondare il craneo anche voi.;italian;anger; Perché non vi farete sfondare il crani anche voi!
Avete capito?;italian;anger; Avete capito?
Sono stata chiara?;italian;anger; Sono stata Chiara!
Fino ad ora.;italian;anger; fino ad ora.
Ma tirati fuori da quell incontro. Rompiti un'altra volta la mano se è necessario.;italian;anger; ma tirati fuori da quell'incontro! Rompiti un'altra volta la mano se necessario!
Benché avessi paura io non ho detto niente.;italian;anger; Benché avessi paura io non ho detto niente!
Ma io adesso ti dico che il tuo amico lì venderà la nostra chiave a qualche compare.;italian;anger; E adesso ti dico che il tuo amico lì venderà la nostra chiave a qualche compare
Voglio vedere se questa volta ti comporti come se non te nefregasse un cazzo.;italian;anger; Voglio vedere se questa volta ti comparti come se non te ne fregasse un cazzo!
Che non se ne sta lì a guardare mentre io vengo amonestata.;italian;anger; che non se ne sta lì a guardare mentre io vengo molestata!
Non ha proprio senso che stai qui a fare questo tutto il giorno.;italian;anger; Non ha proprio senso che stai qui a fare questo tutto il giorno!
Il caso è chiuso.;italian;anger; Il caso è chiuso!
I fotografi non ci sono più, i tuoi soci non ci sono più, ora non c'è più neanche la ricerca per il Dentrex.;italian;anger; I fotografi non ci sono più, i tuoi soci non ci sono più, ora non c'è più neanche la ricerca per il Dela Prex.
È tutta colpa mia.;italian;sadness; È stata colpa mia.
Havrei potuto fermarlo.;italian;sadness; Avrei potuto fermarlo.
Si svegliava.;italian;sadness; Si svegliava.
E saltava giù dal latto.;italian;sadness; e saltava giù dal lato.
Se ne andava in giro.;italian;sadness; se ne andava ingeri.
Si svegliava.;italian;sadness; Sì, svegliava.
Ed era confuso.;italian;sadness; E era confuso.
[non-verbal] lo sono.;italian;sadness; Sì, lo so, no.
Voglio morire anche io.;italian;sadness; Valle morire anche
Io che credevo di essere incinta.;italian;sadness; E io che credo di essere intinta.
Una caramella ce l’ha?;italian;sadness; Una caramella ce l'ha.
Mami ti manda milioni e milioni di baci.;italian;sadness; Mami ti manda milioni e milioni di baci.
Tranne l’unica cosa che volevo.;italian;sadness; l'unica cosa che volevo.
Se mai sono preoccupata per Greg se è una cosa che se lui non c’è la fa.;italian;sadness; Se mai sono preoccupata per Riker, una cosa così linda non ce la fa!
Al fatto che Katy é morta.;italian;sadness; al fatto che ti amore
Ai poveri Anabet e Jimmy ecco.;italian;sadness; Ai, poveriana, a Bettegimi, ecco!
Ho preso Michael ieri sera.;italian;sadness; ho preso mai con le ricette.
E sono andata in un Hotel.;italian;sadness; e sono andata in un mochile.
Non lo so Jimmy.;italian;sadness; non lo sorgiamo.
Mi dispiace davvero.;italian;sadness; Mi dispiace davvero.
Per le sofferenze terribili che vi ho procurato.;italian;sadness; per le sofferenze terribili che vi ho procurato.
Davvero mi dispiace davvero.;italian;sadness; Davvero, mi dispiace davvero.
Tutto mi dispiace.;italian;sadness; Anche a me dispiace
Non sono mai stati aperti.;italian;sadness; non sono mai state aperti.
Non esiste niente.;italian;sadness; Non esiste niente.
Non cè nessuna cospirazione John.;italian;sadness; Non c'è nessuna cospirazione, già.
Non c’è nessun William Parker. ;italian;sadness; Non c'è nessun William Parcell.
Non è reale, è solo nella tua mente.;italian;sadness; Non è reale, è solo nella tua mente.
Sei malato.;italian;sadness; Sei malato!
Sei malato John.;italian;sadness; Sei malato, John.
Ha detto che se tu avessi detto questo …;italian;sadness; ha detto che se tu avessi detto questo.
Ha dei documenti per il ricovero coatto da farmi firmare.;italian;sadness; ha dei documenti per il ricovero 4 da farmi firmare.
Peró le mie, le mie figlie.;italian;sadness; Però le mie... le mie fine...
È così ingiusto per le babine [non-verbal];italian;sadness; così ingiusto per le bambine e diciamo
Comunque non ho …;italian;sadness; Comunque no.
Ma in parte molto di quello che scrivono su di me.;italian;sadness; Non mi importa molto di quello che scrivono su di me.
Un’alta delusione.;italian;sadness; Un'altra diluzione.
Che se ne va.;italian;sadness; che c'è nemmeno
Fantastica, sì davvero fantastica.;italian;sadness; Fantastico, davvero fantastico!
C'erano questi monaci che cantavano.;italian;sadness; C'erano questi monaci che cantavano.
Ma non mi sono imozionata per niente.;italian;sadness; Ma non mi sono emozionata per niente.
Capisci?;italian;sadness; Capisce?
Niente di più importante. Ti richiamo dopo. Va bene?;italian;sadness; Niente di importante, ti richiamo dopo, va bene?
Fiera di tutto ciò che faccio.;italian;sadness; Sì, fiamme, ti coloca fatta.
Uno ha cercato di aggredirmi ed io, le ho tirato un pugno e lui mi ha tagliato.;italian;fear; Uno ha cercato di accredirmi e io le ho tirato un pugno e lui mi ha tagliato.
Io stavo andando verso la mia macchina.;italian;fear; io stavo andando verso la mia macchina
Io dico: Non fumo. Lui dice: Ne anch'io. E allora.;italian;fear; Io dico non fumo e lui dice neanche io e allora...
Sento il cuore che si mette a dare mille perchè lì non c’è nessuno oltre a noi due.;italian;fear; Senta il cuore che si mette a darmi, perché lì non ce ne sono altre noi due.
Ah il rapinatore, lo so come funziona il tuo cervello, lo so.;italian;fear; Ah, il rapinatore! Lo so come funziona il tuo cervello! Lo so!
Io torno a casa tutto insanguinato la notte che Katty viene uccisa.;italian;fear; Io torno a casa, tutto insanguinato, la stessa notte che Cati viene uccisa.
E l’assassino sono io vero?;italian;fear; E l'assassino sono io, vero?
Io non mi fido più ne anche della mia mente, devo avvertirti.;italian;fear; Io non mi fido più neanche della mia mente. Devo avvertirsi.
Cazzo sta succedendo. Dove sono.;italian;fear; Ma che cazzo sta succedendo? Dove sono?
Dove diavolo siamo!;italian;fear; Ma dove diavolo siamo?
Non lo so.;italian;fear; Lo so! Sì!
Perché devo dirti il mio nome?;italian;fear; Perché devo dirti il mio nome?
Che cosa ci faccio qui.;italian;fear; E cosa ci faccio qui?
Non ricordo niente.;italian;fear; Non ricordo niente!
Sono andato al letto nel mio appartamento e mi risveglio in questo posto di merda.;italian;fear; Sono andato a letto nel mio appartamento e mi risveglio in questo posto di merda!
Non voglio rischiare di romperlo. Lanciami la cassetta.;italian;fear; Non voglio rischiare di romperlo. Lanciami la cassetta!
È solo solo un brutto scherzo, vero?;italian;fear; è solo un brutto scherzo vero?
Chi è?!;italian;fear; Chi è?
Chi sai?!;italian;fear; CHISSAL!
Fatti vedere!;italian;fear; Fatti vedere!
Ti ammazzo figlio di puttana!;italian;fear; Ti ammazzo figlio di puttana!
Chi è che parla?;italian;fear; Chi è che parla?
Piccola sono io. Ti sento.;italian;fear; Sì, piccola, sono io. Ti sento.
William io non pensavo di dover fare questo.;italian;fear; William, io non pensavo di dover fare questo.
... hai svolto un incarico top secret per il governo.;italian;fear; Alicio, ho svolto un incarico top secret per il governo.
Esiste la minaccia di un disastro di proporzioni catastrofiche.;italian;fear; Esista la minaccia di un disastro di proporzioni catastrofiche.
Con tutto il rispetto, questo è assolutamente ridicolo. Non ha alcun senso!;italian;fear; Con tutto il rispetto questo è assolutamente ridicolo, non ha alcun senso.
Accendi la luce!;italian;fear; Accendi la luce!
Che cos'è questa puzza tremenda.;italian;fear; Che cos'è questa fuccia tremenda?
Ho bisogno di te.;italian;fear; Ho bisogno di te!
Ne abbemo paura che fossi morto.;italian;fear; Avevo paura che fossi morto!
Mi è successa la stessa cosa anche a me.;italian;fear; È successa la stessa cosa anche a me!
Sono stato colpito da scarice elettriche.;italian;fear; Sono stato colpito da scariche elettriche!
Aiuto!;italian;fear; AIUTO!
Qualcuno mi aiuti!;italian;fear; qualcuno mi aiuti!
Sì, si chiama Sed.;italian;fear; Si, si chiama Z
Che stà succedendo.;italian;fear; Che sta succedendo?
Eh, solo solo il greletto.;italian;fear; solo il grilletto
Era un lupo mannaro.;italian;fear; E non lo pamanerò.
Io non ho ucciso Katty.;italian;fear; Io non ho ucciso, che ti...
Lei stava seduta sopra il letto, e …;italian;fear; Lei stava seduta a spruilletto!
Dove sono, nei regno dei morti?;italian;fear; Sono nel regno dei morti!
Chi è!;italian;fear; Ghièèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèè
Gli ho parlato.;italian;fear; Chi ha parlato?
Come quando si dice: Non è una rivolta, è rabbia.;italian;disgust; Come quando si dice non è una rivolta, è rabbia!
Gardate questa insignificante squallida cosa.;italian;disgust; Guardate questa insignificante squallida cosa.
Qualquno sa dirme in che somiglia alla foto?;italian;disgust; Qualcuno sa dirmi in che somiglia la foto.
Aspetta la vediamo.;italian;disgust; Aspetta, vediamo.
Quando ho compiuto sei anni il mio miglior amico di allora mi ha ferito con un chiodo arruginito.;italian;disgust; Quando ho compiuto sei anni, il mio migliore amico di allora mi ha ferito con un chiodo arrugginito.
Davvero? Eppure lo sbirro pensa che ci sia tu dietro tutto questo.;italian;disgust; Davvero? Eppure lo sbirro pensa che ci sia tu dietro tutto questo.
Perché ti arrabbi? Guarda che non me ne frega niente.;italian;disgust; Perché ti arrabbi? Guarda che non me ne frega niente!
Lieto di esserle stato d'aiuto.;italian;disgust; Lieto di essere l'estate d'aiuto.
Ho un orario di ufficio fisso. Se ci sono ulteriori informazioni che lei habbia bisogno su detti o qualche proverbio.;italian;disgust; Ho un orario di ufficio fisso, se ci sono ulteriori informazioni che le abisognano su detti, qualche proverbio...
La mia porta è apertissima.;italian;disgust; La mia porta è apertissima.
Magari la prossima volta che va all'ospedale potrebbe portare anche noi.;italian;disgust; Magari la prossima volta che va all'ospedale potrebbe portare anche noi.
Bene, nel prenderò nota. C'è altro che posso fare per lei?;italian;disgust; Bene, ne prenderò nota. C'è altro che posso fare per lei?
Non includermi ne ho abbastanza delle convocazioni.;italian;disgust; Non includermi, ne ho abbastanza delle convocazioni.
Papà starà benissimo. E poi lui a Jou.;italian;disgust; Papà starà benissimo e poi lui a Joe.
E sembra che c'è l’abbia anche tu.;italian;disgust; e sembra che ce l'abbia anche tu.
Mamma ho molto da fare ti prego.;italian;disgust; Mamma, ho molto da fare, ti prego.
Non ho tempo per aiutare questo coso a intentare una causa ridicola e inutile.;italian;disgust; Non ho tempo per aiutare questo coso a intentare una causa ridicola e inutile.
Questa è la mutazione mamma. Il miracolo della genetica è che non sono te.;italian;disgust; Beh, questa è la mutazione, mamma. Il miracolo della genetica è che non sono te.
Io vivo con te a so quanto studi o dovrei dire non studi. Eppure vai meglio di me.;italian;disgust; Io vivo con te e so quanto studi, o dovrei dire non studi. Eppure vai meglio di me.
Lasciamo perdere.;italian;disgust; Lasciamo perdere.
Perché più apprendo e più potrò avere la risposta giusta al momento giusto e salvare delle vite.;italian;disgust; più apprendo e più potrò avere la risposta giusta al momento giusto e salvare delle vite.
Ma chiedi a chi ti pare.;italian;disgust; Ma chiedi a chi ti pare.
Se vogliono avere uno stronzo al loro fianco.;italian;disgust; Se vogliono avere uno stronzo al loro fianco...
È perché tuo padre era dottore e suo padre era dottore?;italian;disgust; è perché tuo padre era dottore e suo padre era dottore
È una cosa genetica?;italian;disgust; è una cosa genetica ?
Saddam, si chiama Saddam. Ah questo è fantastico Bruce.;italian;disgust; Saddam si chiama Saddam. Ah, questo è fantastico Proust.
Certo, appunterò una medaglia su un iracheno che si chiama Sandam.;italian;disgust; Certo, apporterò una medaglia su un iracheno che si chiama Saddam.
Li costruisce i quartieri, non li vuole distruggere.;italian;disgust; li costruisce i quartieri, non li vuole distruggere.
Ho smarrito un ricorso importante. Questa è la loro versione.;italian;disgust; Ho smarrito un ricorso importante, questa è la loro versione.
Vuole sentire la mia?;italian;disgust; Vuoi sentire la mia?
O no potremmo anche convincere Alma a lasciarci adottare le mie figlie.;italian;disgust; Come no? Potremmo anche convincere Alma a lasciarci adottare le mie figlie.
A mantenere la baracca pensarebbe tuo suocero.;italian;disgust; A mantenere la baracca penserebbe tuo suocero.
E dai rubinetti uscirebbe il miele. Eh bravo genio. Un’idea geniale. Complimenti.;italian;disgust; e da rubina ti uscirebbe il miele, bravo Jack, un'idea geniale, complimenti
Non ti ho detto neanche che la mia ultima ragazza era una femminista vegetariana.;italian;disgust; Non ti ho detto neanche che la mia ultima ragazza era una femminista vegetariana.
Ma Gerry non può obbligarci a fare cose vietate dalla legge.;italian;disgust; Aghirre non può obbligarci a fare cose vietate dalla legge.
Della morte di un pedofilo non frega niente a nessuno. Perché non dire la verità.;italian;disgust; della morte di un pedofilo non frega niente a nessuno. Perché non dirle la verità?
Oh, ne possiamo parlare, ma non andiamo avanti con il lavoro.;italian;disgust; Ne possiamo parlare, ma non andiamo avanti con il lavoro.
Martin scusa non puoi occupartene tu.;italian;disgust; Martin scusa non puoi occupartene tu
[non-verbal] è un'idiota.;italian;happiness; è un idiota
È sempre stato un ideota.;italian;happiness; è sempre stato un idiota
Fammi gli auguri.;italian;happiness; Famiglia Aguri!
Ho dei veri e propri classici.;italian;happiness; O dai veri e propri classici!
Sarebbe eccitante però non trovi se, se uno famoso entrasse nel negozio.;italian;happiness; Sarebbe excitante, però non trovi se c'è uno famoso entrasse nel negozio.
Vado solo.;italian;happiness; Palosolo!
Mi ha davero ipnotizzato Sed.;italian;happiness; mi ha davvero ipnotizzato, sa?
Mi ha detto già qualunque cazzata.;italian;happiness; Mi ha detto già qualunque cazzata.
Cristo santo.;italian;happiness; Cristo Santo.
Tutti hanno un’idea personale di quello che credono sia il paradiso.;italian;happiness; Tutti hanno un'idea personale di quello che credono sia il paradiso.
Accidenti che signora simpatica.;italian;happiness; Accidenti, che signora simpatica!
Noioso da morire.;italian;happiness; Non gli usa da morire.
[non-verbal] è meraviglioso ;italian;happiness; Dio, è meraviglioso!
Rilassati lo so. A che scopo essere matto se non ti puoi divertire.;italian;happiness; Rilassati lo so, a che scopo essere matto se non ti puoi divertire?
Dio ... vi voglio bene.;italian;happiness; Dio, vi voglio bene.
E poi mangiava una montagna di pure di patate.;italian;happiness; e poi mangiavo una montagna di purè di patate.
Potrai anche rimediare una trombetta e correrli indiatro intorno al ring.;italian;happiness; Potrei anche rimediare una trombetta e corregli dietro intorno al ring.
La gente non lo identificherà come personaggio di colore.;italian;happiness; la gente non lo identificherà come personaggio di colore.
[non-verbal] andiamo.;italian;happiness; Andiamo!
Grazie non ho altre domande.;italian;happiness; Grazie, non ho altre domande.
Signor Wheeler è magnifico e straordinario.;italian;happiness; Signor Wheeler, lei è magnifico, è straordinario.
Capisco la tua logica. Mezzo cappucino in arrivo.;italian;happiness; Capisco la tua logica. Mezzo cappuccino in arrivo.
Queste sono le parole migliori che potevano uscire.;italian;happiness; Queste sono le parole migliori che potevano uscire
È questo il modo di parlare a unospite?;italian;happiness; E questo è il modo di parlare a un ospite!
Ho perso il conto.;italian;happiness; Ho perso il conto.
Arriverai, certo.;italian;happiness; Dai, svelto!
Non sei meno [non-verbal];italian;happiness; un sei meno
Ecco la seconda più grande invenzione.;italian;happiness; Ecco la seconda più grande invenzione!
Fantastico Larry. È meraviglioso, andremo daccordo vedrai.;italian;happiness; Fantastico Larry! È meraviglioso andremo d'accordo vedrai
È un piacere vederti.;italian;happiness; È un piacere vederti!
Guarda che meraviglia.;italian;happiness; Guarda che meraviglia!
L’hai centrato!;italian;happiness; L'hai centrato!
