file_name;manual transcription
f_gio204aes;¿Puedo verla?
f_gio206aes;Que acogedora.
f_gio207aes;Se lo agradecería.
f_gio208aes;No me siento tan mayor.
f_gio209aes;Treinta y uno hasta mi próximo cumpleaños.
f_gio210aes;Es preciosa.
f_gio212aes;[No verbal] ¿Qué significa?
f_gio214aes;Me esperara que llegara eso.
f_rab003aes;¿Dónde estás?
f_rab008aes;Semejante obligación no existe.
f_rab009aes;A todas horas soy atendida por médicos que me informan de mis propios intereses.
f_rab010aes;Este pueblo me está afixiando.
f_rab010bes;¡No lo es! Es la mía.
f_rab011aes;¡Por el amor de Dios, Dave!
f_rab011bes;¿Por qué no dijiste lo de ese hombre?
f_rab012aes;"Toda la prensa británica se ha levantado pensado: ""Sé dónde está Anna Scott""."
f_rab012bes;En esa casa de la puerta azul en Notting Hill.
f_rab012ces;Y luego tú sales con tus ridículos calzoncillos.
f_rab013bes;Por el amor de Dios, tengo novio.
f_rab014aes;Pero mañana saldrá tu foto en cada periódico de aquí a Tombuctú.
f_rab015aes;Bueno, esta situación es perfecta para ti.
f_rab015bes;Mínima inversión, máxima publicidad.
f_rab015ces;"Vayas donde vayas la gente dirá: ""Oh, bien hecho, te has tirado a esa actriz""."
f_rab015des;Hemos visto las fotos.
f_rab029aes;Te da miedo que yo no te ame.
f_rab029bes;Y sabes que yo también tengo miedo.
f_rab029ces;Pero joder, debemos intentarlo, al menos habré sido honesta contigo.
f_rab034aes;Pues mal hecho, deberías haberme consultado.
f_rab037aes;Puede ser el objeto más valioso que tenemos.
f_rab042aes;¡Y quiero que me digas inmediatamente cuándo vas a venir a casa!
f_rab047ces;Es que me gustaría que se me reconociera el hecho de que me mato intentándolo.
f_rab064aes;¡No se acerque a ella!
f_rab068aes;No quiero decir por fuera, ¡cambia por dentro!
f_rab068bes;¡Corre riesgos, comete errores!
f_rab069aes;¡Sí! En ocasiones es importante no ser perfecto, ¿vale? Es importante equivocarse.
f_rab070aes;No, para cometerlos.
f_rab082aes;Y se acabó el boxear fuera.
f_rab082bes;¿Entendido? No se boxea. ¡Punto!
f_rab083aes;Seguiréis yendo al colegio.
f_rab083bes;Estudiaréis en la universidad y tendréis una profesión.
f_rab083ces;Porque no quiero que también os machaquen el cráneo.
f_rab084aes;¿Lo habéis entendido?
f_rab084bes;¿Queda claro?
f_rab087aes;Pero evita como sea ese combate. Si es necesario, rómpete la mano.
f_rab089ces;Pues me he asustado y no he dicho nada y a los diez segundos tenía un arma en mi cara. 
f_rab090aes;Y te aseguro que tu amigo, el de ahí, va a vender nuestra llave a uno de sus colegas.
f_rab090bes;Y esta vez sería de puta madre que actuaras como si te importara algo.
f_rab092bes;Teniendo las manos de ese cerdo por todas partes.
f_rab094aes;Que no se quede quieto mientras me meten mano.
f_rab098aes;No tiene sentido que pases todo el día aquí encerrado. 
f_rab901aes;Estoy harta tí.
f_tri001aes;Fue culpa mía.
f_tri002aes;Podía haberlo impedido.
f_tri003aes;No sabías que últimamente se despertaba.
f_tri004aes;Y yo sabía que algunas veces ...
f_tri005aes;... se levantaba de la cama.
f_tri005bes;Y andaba por ahí.
f_tri006aes;Se despertaba.
f_tri007aes;Y se sentía confuso.
f_tri008aes;También me quiero morir.
f_tri009aes;¿El dolor seguirá siempre igual?
f_tri010aes;Será mucho peor.
f_tri017aes;¿Tiene un caramelo?
f_tri018aes;Mami te envía millones y millones de besos.
f_tri023aes;Excepto lo que más deseo.
f_tri026aes;Estoy preocupada por Ray.
f_tri027aes;No se si él podrá soportarlo [non-verbal]
f_tri032ces;En esas cosas.
f_tri037aes;Y lo que parecía una estúpida sesión de fotos es una peli porno.
f_tri039aes;Briony, no queda mucho tiempo.
f_tri039bes;Robbie tiene que presentarse a las seis.
f_tri039ces;Para coger el tren.
f_tri039des;Así que siéntate.
f_tri040aes;Siento muchisimo.
f_tri040bes;El terrible dolor que os he causado.
f_tri040ces;Lo siento mucho.
f_tri041aes;Lo siento tanto.
f_tri044aes;No hay ningún William Parcher. 
f_tri044bes;Sólo está en tu mente.
f_tri045aes;¿Lo entiendes, mi amor?
f_tri045bes;No es real.
f_tri045ces;Estás enfermo, John.
f_tri047aes;¿Intentarías hacerme daño?
f_tri049aes;Pero mis ... mis hijas, ellas.
f_tri054aes;Otra decepción.
f_tri054ces;Que se va.
f_tri059aes;Lo siento.
f_tri071aes;¿Te sientes orgullosa de mí?
f_tri081aes;Jim, tú no lo has visto.
f_tri085aes;Se lo han dado al tío de city core
f_tri091bes;De que me llevarías contigo.
f_tri094aes;Ojalá pudiera formar parte de el.
f_tri096aes;Sin esa familia, nunca podrías haber escrito nada igual.
f_tri096bes;Les necesitas.
f_tri097bes;Y que cuando vuelvas me cuentes hasta el último detalle. 
m_ans001aes;Es sólo que sangra mucho.
m_ans002aes;Un tipo trató de atracarme, me ... me defendí y me rajó.
m_ans003aes;Iba tranquilamente hacia mi coche.
m_ans003bes;Le digo no fumo y me dice yo tampoco, así que.
m_ans007aes;Claro por eso crees que la maté yo.
m_ans007bes;Por llegar a casa manchado de sangre la noche que matan a Katie.
m_ans007ces;Por tanto debo haber sido yo, ¿verdad?
m_ans008aes;No puedo seguir confiando en mi mente, Celeste. No puedo más.
m_ans011aes;¿Qué coño está pasando? ¿Dónde estoy?
m_ans013aes;No lo sé.
m_ans014aes;¿Y eso qué importa? Ahora estoy confundido. ¿Cómo te llamas tú?
m_ans014bes;¿Qué coño pasa aquí?
m_ans015bes;Fuí a dormir a mi apartamento y me he despertado en este lugar asqueroso.
m_ans016aes;Es lo que suelen hacer. Te secuestran, te drogan.
m_ans016bes;Y antes de que te des cuenta, tú estás en una bañera y tus riñones en otra persona.
m_ans020bes;¡¿Quién anda ahí?!
m_ans020ces;¡Sal!
m_ans020des;¡Te mataré, cabrón!
m_ans021aes;¿Quién es?
m_ans022aes;Sí, cariño, soy yo. Estoy aquí.
m_ans023aes;Esto no formaba parte del trato.
m_ans024aes;Alicia estaba trabajando para el gobierno.
m_ans024bes;Existe una amenaza de proporciones catastróficas.
m_ans030aes;Con el debido respeto, esto … esto es ridículo. ¡No tiene ningún sentido!
m_ans101aes;¿Qué es ese olor?
m_ans105aes;Sí, te lo dije. A mí me hizo lo mismo.
m_ans105bes;Lo es, no te mentía.
m_ans106aes;Me, me está electrocutando.
m_ans107aes;¡Socorro, que alguien me ayude!
m_ans124aes;¿Quién eres?
m_ans124bes;¿Quién eres?
m_dis001aes;"Es como decir: ""No es un revuelta, es rabia. No es un crimen, es pobreza""."
m_dis002aes;Mira esta triste, miserable y aplastada cosa.
m_dis002bes;¿Alguien puede decirme dónde está el fallo de esa fotografía?
m_dis003aes;Bueno, pues, quizás.
m_dis003bes;Al cumplir seis años, mi mejor amigo, Scott Tibbs, me pinchó con un clavo, eso te no había contado.
m_dis005aes;¿A sí? Pues, ese poli piensa que tú estás detrás de todo.
m_dis008bes;Tengo horas de consulta. Si necesitas más información sobre refranes, expresiones ...
m_dis014aes;Y al parecer, tú también.
m_dis016aes;Bueno, eso se llama mutación, madre. El milagro de la genética es que yo no soy tú.
m_dis018bes;Vivo contigo. Sé cuanto estudias, o debería decir no estudias. Y sacas mejores notas que yo.
m_dis023bes;¿Es porque tu padre era médico y tu abuelo era médico?
m_dis023ces;¿Es un asunto genético quizá?
m_dis035aes;Saddam. ¿Se llama Saddam? Genial, estupendo, Bruce.
m_dis036aes;¡Concédete un ascenso por favor!
m_dis043aes;Construye barrios, no los destruye evidentemente.
m_dis044aes;Extravié una importante demanda. Esa es su versión.
m_dis044bes;¿Te cuento la mía?
m_gio001aes;[no verbal] es un idiota.
m_gio001bes;Siempre ha sido un idiota.
m_gio002aes;Guay. Gracias.
m_gio002bes;Deséame suerte.
m_gio003aes;¿Hace una sesión de video esta noche?
m_gio003bes;Tengo unos clásicos cojonudos.
m_gio004aes;Pero sería emocionante, ¿verdad? Alguien famoso en la tienda [no verbal].
m_gio005aes;¡Venga, un baile!
m_gio010aes;Ya me lo has contado todo.
m_gio013aes;Ve a patita cabrón. Will se lleva el coche.
m_gio015aes;Vaya, que encanto de mujer.
m_gio016aes;Porque son aburridas, insoportables.
m_gio017aes;Eso es maravilloso.
m_gio018aes;Tranquilo es broma. De qué sirve estar chalado msi no puedes divertirte.
m_gio022aes;Como os quiero, chicos.
m_gio023aes;Por primera vez en dieciocho años voy a poder estar al mando de mi propia vida. ¡Ay, Dios mío!
m_gio034aes;Pues en realidad tantas veces como puede.
m_gio041aes;Santo Dios bendito.
m_gio041bes;Santo Dios, la Virgen y San José.
m_gio046aes;Tú podrías salir con una bocina y perseguirle por el ring.
m_gio049aes;No comprenderá que se trata de un negro.
m_gio049bes;[no verbal] por favor.
m_gio054aes;¿Cómo está?
m_gio054bes;¿Qué le pasa en la cara?
m_gio056aes;Gracias, no hay más preguntas.
m_gio058aes;Sr. Wheeler, es usted magnífico.
m_gio062aes;[No verbal] eso es lógico. Medio capuchino marchando.
m_gio100aes;Esa mierda es lo mejor que he oído salir ...
m_gio101aes;Por favor, déjadle en paz.
m_gio102aes;No sé. A las chicas les gusta.
m_gio103aes;¿Es esa la forma de hablarle a un invitado? ¿A un amigo de la familia?
m_gio104aes;¿Estás enfermo?
m_gio105aes;De puta madre. Ha resucitado.
m_gio106aes;Seis putos kilos.
m_gio107aes;De verdad tío este chaval es una pasada.
m_gio108aes;He perdido la cuenta tío.
m_gio108bes;Da igual, colega.
m_gio110aes;Te vendría bien, un bien [no verbal].
m_gio111aes;¡Y ese es el segundo mejor invento!
m_gio119aes;Pero tú, Jimmy, le miras como si fueras a arrancarle la nariz y obligar ...
m_gio123aes;¿Verdad que es extraño? [no verbal] tener muchos hijos.
m_gio129aes;Preferiría no hacerlo yo mismo. 
m_gio140aes;Cada uno tiene su propia idea de lo que es el paraíso. [no verbal]
m_gio140bes;Pero a la parienta, a la parienta le parece el paraíso. [no verbal]
m_gio145aes;[No verbal] bien. Como le he dicho me obligan a preguntar si lo entiende.
m_gio146aes;¿Qué tiene de malo reírse del secretario general del partido? [no verbal]
m_gio146bes;Además, seguro de que ya me lo sé. [no verbal]
m_rab006aes;¡Todo se hizo por ti!
m_rab006bes;¡Se hizo para que mejoraras!
m_rab006ces;Se hizo por amor.
m_rab021bes;¡Es de mi hija de quien estoy hablando!
m_rab021ces;¡Que todo el mundo cierre el pico!
m_rab021des;¡Cerrad el pico!
m_rab022aes;¿Por qué coño crees que estaba allí?
m_rab027aes;"Vamos, responde: ""¿Qué hay que comprender?"
m_rab029aes;... y las procesas.
m_rab029bes;"Dices: ""Las malvadas fueron ellas, ellas son las culpables""."
m_rab029ces;Porque por casualidad una de las víctimas escribió un libro.
m_rab030ces;¿Quién lo sabía?
m_rab030des;¿Qué sabían?
m_rab030ees;Pues, ¿lo sabían todos?
m_rab045aes;Mírate, jodida ruina humana.
m_rab046aes;Exacto, está muerta joder. ¿Ella la palma y tú recoges tus fichas y te das el piro?
m_rab047aes;Te perdiste una mano de cojones. Hay gente que pierde una mano como esa y tiene los huevos de volver a apostar.
m_rab050aes;¿Por qué crees que hace eso, Gerry? ¿Tienes alguna puta idea?
m_rab053ces;Tú y todos los tuyos me consideráis un caso lamentable.
m_rab055aes;No se trata de ti, matemático gilipollas.
m_rab055bes;¡Se trata del chico!
m_rab055ces;Y no voy a dejar que le jodas como estás intentando joderme a mí.
m_rab064aes;¿Me has oído? ¡Cállate!
m_rab067aes;O te corto en mil pedazos con esto.
m_rab070aes;Pues, no me tengas en ascuas sobre lo que piensas.
m_rab071aes;Claro que es él, ¿qué aspecto tenía?
m_rab084aes;¡Pues deberías maldita sea!
m_rab087aes;¡Me da igual que le ames!
m_rab087bes;Hazme caso!
m_rab089bes;¡Hay un autobús lleno de muertos!
m_rab089ces;¡¿Y podrían hacer daño a alguien?!
m_rab090aes;¿A quién? ¿A un amigo tuyo?
m_rab093aes;No, esa eres tú.
m_rab095aes;Cierto, no me caes bien.
m_rab097aes;No estamos en el recreo.
m_rab097bes;¡Esto es un asunto serio!
m_rab099aes;¿Dices que soy un capullo?
m_rab110bes;Que no está preparado para ser médico y bajo mi responsabilidad ...
m_rab119ces;¡Joder!
m_tri001aes;Uno se siente muy …
m_tri001bes;Sólo cuando le hace daño a alguien.
m_tri002aes;Te sientes como ...
m_tri002bes;... un extraño.
m_tri005aes;La quería.
m_tri005bes;Muchísimo.
m_tri005ces;Por la noche nos sentábamos en la cocina ...
m_tri005des;... que éramos las dos únicas personas sobre la tierra.
m_tri005ees;Rechazado.
m_tri007aes;Sobre las ocho.
m_tri007ces;Se fue a ver a Eve y Diane.
m_tri008aes;Nos íbamos el domingo.
m_tri008bes;Pensábamos casarnos allí.
m_tri008ces;Ese era el plan saben.
m_tri009aes;La quería tanto.
m_tri009bes;Tiene nada igual.
m_tri009ces;Nunca en la vida.
m_tri011aes;Pero ahora quiere morir.
m_tri011bes;Y yo quiero que se quede conmigo.
m_tri011ces;Lo juro por Dios, Padre...
m_tri011des;Es cometer un pecado el que haga.
m_tri011ees;Manteniéndola viva la estoy matando.
m_tri011fes;Lo entiendes.
m_tri011ges;Cómo lo resumido
m_tri012aes;Fui a ver a Maggie esta mañana.
m_tri012bes;Debías de haber salido.
m_tri014aes;Puede que no la firmes.
m_tri014bes;Y me das un poco más de tiempo.
m_tri015aes;Hagas lo que hagas, Rosen tiene razón en una cosa.
m_tri015bes;No debes quedarte.
m_tri015ces;Ya no soy de fiar.
m_tri016aes;No lo sé.
m_tri016bes;Que el Dr. Rosen te lleve a casa de tu madre.
m_tri020aes;Tú tienes ese don.
m_tri020bes;Sabes tratar a la gente.
m_tri021aes;Les caes bien.
m_tri021bes;Y si te vas, no aprenderé a hacerlo.
m_tri025aes;Hasta que una noche se enteró de que se había ...
m_tri028aes;Él no es la misma persona que era antes.
m_tri029aes;Apenas se hablan. Son como extraños.
m_tri030bes;Porque siente que ...
m_tri030ces;... sería ... como ayudar también al otro.
m_tri039aes;Otra familia, otra ...
