file_name;transcription;language;emotion;model_transcription;model_emotion;model_emotion_nowhisper
f_ans044bes;No pasaría tanto tiempo sin vernos a mí y a la niña.;spanish;negative; No pasaría tanto tiempo sin vernos a mí y a la niña.;positive;positive
f_ans045aes;No sabía a quién acudir, Jim.;spanish;negative; No sabía quién acudir siempre.;negative;negative
f_ans049aes;Porque no creía que hubiese motivo.;spanish;negative; ¿Por qué no creía que hubiese motivo?;negative;negative
f_ans050aes;Era  y no sabía lo que significaba.;spanish;negative; Era... y no sabía lo que significaba.;negative;negative
f_ans901aes;Pero es imposible.;spanish;negative; Pero es imposible.;negative;negative
f_ans901bes;El señor nunca permitiría semejante aberración.;spanish;negative; El señor nunca permitiría ese vegano de aberración.;negative;negative
f_ans901ces;Sólo se reunirán al final de los tiempos.;spanish;negative; Solo se reunirán al final de los tiempos.;negative;negative
f_ans902aes;No era ella.;spanish;negative; No era ella.;negative;negative
f_ans902bes;Era esa anciana.;spanish;negative; Era esa anciana.;negative;negative
f_ans902ces;De ojos extraños estaba imitando la voz de mi hija.;spanish;negative; De ojos extraños se estaba inminando la voz de mi hija.;negative;negative
f_ans902des;Le juro por Dios que no era mi hija.;spanish;negative; le juro por dios que no era mi hija.;negative;negative
f_ans905aes;La guerra ha acabado.;spanish;negative; ¡La guerra ha escapado!;negative;negative
f_dis008aes;¿Decir que es una quejica para ti no es meterte con ella? Creo que sí. ;spanish;negative; Decir que es una quejica para ti no es meterte con ella, creo que sí.;negative;negative
f_dis009aes;Vaya, que raro.;spanish;negative; Mmm, vaya, qué raro.;negative;negative
f_dis014aes;Genial.;spanish;negative; Crenia.;negative;positive
f_dis014bes;En recursos humanos tienen un sentido del humor muy raro.;spanish;negative; En recursos humanos tienen un sentido del humor muy raro.;negative;negative
f_dis016aes;Yay, whoopee.;spanish;negative; Sí, ñope.;negative;positive
f_dis017aes;Has tropezado y te has golpeada la cabecita contra la acera.;spanish;negative; ¿Has tropezado y te has golpeado la cabecita contra la acera?;negative;negative
f_dis019aes; Una sola copia.;spanish;negative; Una sola copia.;negative;negative
f_dis019bes;¿Qué harán mis gemelas con esto?;spanish;negative; ¿Qué harán mis gemelas con esto?;negative;negative
f_dis019ces;¿Compartirlo?;spanish;negative; compartirlo.;positive;negative
f_dis020aes;"
¿Hay alguien que tenga algo que yo pueda usar?";spanish;negative; ¿Hay alguien que tenga algo que yo pueda usar?;negative;negative
f_dis024aes;Lloyd, cariño, te quiero con toda mi alma ;spanish;negative; Lloyd, cariño, te quiero con toda mi alma.;positive;positive
f_dis024bes;Pero a veces tengo que preguntarme si realmente eres mi hijo.;spanish;negative; Pero a veces tengo que preguntarme si realmente eres mi hijo.;negative;negative
f_dis025aes;Siempre has sido más como tu padre.;spanish;negative; Siempre has sido más como tu padre.;negative;negative
f_dis027aes;Puede darme la pistola o devolverme el dinero.;spanish;negative; ¿Puede darme la pistola o devolverme el dinero?;negative;negative
f_dis027bes;La verdad es que prefiero recuperar el dinero.;spanish;negative; Y la verdad es que prefiero recuperar el dinero.;negative;negative
f_dis028aes;¿Me da la caja sí o no?;spanish;negative; ¿Me da la caja sí o no?;negative;negative
f_dis029aes;Nos iban a matar en ventura boulevard.;spanish;negative; Nos iban a matar en Ventura Boulevard.;negative;negative
f_dis036aes;Mi padre es de Puerto Rico, mi madre es de El Salvador.;spanish;negative; Mi padre es de Puerto Rico, mi madre es del Salvador.;negative;negative
f_dis036bes;Y ningún sitio de esos es México.;spanish;negative; y ningún sitio de esos es México.;negative;negative
f_dis037aes; No lo sé. ¿No está enferma?;spanish;negative; No lo sé. ¿No está enferma?;negative;negative
f_dis038aes;Creía que los enfermos se inventaban cosas a menudo.;spanish;negative; Creía que los enfermos inventaban cosas a menudo.;negative;negative
f_dis042aes;¿Por qué compra esta tierra, Sr. Bloom?;spanish;negative; ¿Por qué compré esta tierra, señor Bloom?;negative;negative
f_dis043aes;¿En vez  de comprarse un descapotable, se compra un pueblo? ;spanish;negative; En vez de comprarse un descapotable, ¿se compra un pueblo?;negative;negative
f_dis049aes;Estoy a favor de la paz, Sr. Lud. Por eso estoy en la ONU. Para apoyar la diplomacia.;spanish;negative; Estoy a favor de la paz, señor Lat. Por eso estoy en la ONU para apoyar la diplomacia.;positive;positive
f_dis108aes;No era una pregunta.;spanish;negative; No era una pregunta.;negative;negative
f_dis150aes;Y tú puedes hacer lo todo, ¿no?;spanish;negative; Y tú puedes hacerlo todo, ¿no?;positive;positive
f_dis201aes;Pero si ya lo hiciste.;spanish;negative; Pero si ya lo hiciste.;negative;negative
f_dis202aes;Y antes de hoy, ¿no habías oído nunca hablar de mí? ;spanish;negative; ¿Y antes de hoy no habías oído nunca hablar de mí?;negative;negative
f_dis204aes;¿Se ha muerto, o qué?;spanish;negative; si ha muerto o qué.;negative;negative
f_dis205aes;Una vez un ayudante dejó su mesa porque se rebanó la mano con un abrecartas.;spanish;negative; Una vez un ayudante dejó su mesa porque se rebanó la mano con un abre cartas.;negative;negative
f_dis206aes;Jamás creí que diría esto.;spanish;negative; Jamás creí que diría esto.;negative;negative
f_dis901aes;Oh, os habríais librado de que los romanos os cortaran la cabeza, claro. ;spanish;negative; ¿Os habríais librado de que los romanos os cortaran la cabeza?;negative;negative
f_dis902aes;¿Así que los dos habríais mentido hasta el punto de negar a Cristo?;spanish;negative; Así que los dos habríais mentido hasta el punto de negar a Cristo.;negative;negative
f_gio002aes;Estoy curada.;spanish;positive; Estoy curada.;positive;positive
f_gio012aes;Gracias señorita Burton.;spanish;positive; Gracias, señorita Burton.;positive;positive
f_gio012bes;Tomaré nota de su consideración.;spanish;positive; Tomaré nota de su consideración.;positive;positive
f_gio019aes;Eso es genial. Perfecto, sí.;spanish;positive; Eso es genial. Perfecto, sí.;positive;positive
f_gio030aes;¡Eres tú!;spanish;positive; Eres tú.;positive;positive
f_gio034aes;A veces, pero soy más discreta.;spanish;positive; A veces, pero soy más discreta.;negative;negative
f_gio038aes;No, necesito un luchador con un master.;spanish;positive; No, necesito un luchador con un máster.;negative;negative
f_gio040aes;Una noche saltó la barra y se ofreció a enseñarme a prepararlos. ;spanish;positive; Una noche saltó la barra y se ofreció a enseñarme a prepararlos.;positive;positive
f_gio044aes;Vuelve a la cama tesoro.;spanish;positive; Vuelve a la cama, tesoro.;negative;negative
f_gio045aes;Eso es estupendo.;spanish;positive; ¡Eso es estupendo!;positive;positive
f_gio047aes;Al contrario.;spanish;positive; Al contrario.;negative;negative
f_gio047bes;El otro día emprendimos una exploración a lo más recóndito de África en nuestro jardín.;spanish;positive; El otro día emprendimos una exploración al más recóndito de África en nuestro jardín.;positive;positive
f_gio049aes;Les he dicho que tenía que pasar la tarde con un periodista ecuestre muy importante.;spanish;positive; Les he dicho que tenía que pasar la tarde con un periodista ecuestre muy importante.;negative;negative
f_gio120aes;¡Oh, creía que se refería al juez!;spanish;positive; Creía que se refería al juez.;negative;negative
f_gio123aes;¡Muchas gracias!;spanish;positive; Muchas gracias.;positive;positive
f_gio133aes;Creí que estabas viviendo un tórrido romance.;spanish;positive; Creí que estabas viviendo un torrido romance.;negative;negative
f_gio144aes;¡Feliz cumpleaños!  [no verbal];spanish;positive; ¡Feliz cumpleaños!;positive;positive
f_gio162aes;No  [no verbal] ¡sí!;spanish;positive; No...;negative;negative
f_gio189aes;[no verbal] caray.;spanish;positive; caray;negative;negative
f_gio201aes;Es que aquí hace calor.;spanish;positive; Es que aquí hace calor.;negative;negative
f_gio203aes;¿Y sobre mí?;spanish;positive; ¿Y sobre mí?;negative;negative
f_gio204aes;¿Puedo verla?;spanish;positive; ¿Puedo verla?;negative;negative
f_gio206aes;Que acogedora.;spanish;positive; Qué acogedora.;positive;negative
f_gio207aes;Se lo agradecería.;spanish;positive; Se lo agradecería.;positive;positive
f_gio208aes;No me siento tan mayor.;spanish;positive; Me siento tan mayor.;positive;negative
f_gio209aes;Treinta y uno hasta mi próximo cumpleaños.;spanish;positive; 30 y 1. Hasta mi próximo cumpleaños.;positive;positive
f_gio210aes;Es preciosa.;spanish;positive; ¡Es preciosa!;positive;positive
f_gio212aes;[No verbal] ¿Qué significa?;spanish;positive; ¿Qué significa?;negative;negative
f_gio214aes;Me esperara que llegara eso.;spanish;positive; Esperara que llegara eso.;negative;negative
f_rab003aes;¿Dónde estás?;spanish;negative; ¿Dónde estás?;negative;negative
f_rab008aes;Semejante obligación no existe.;spanish;negative; ¡Semejante obligación no existe!;negative;negative
f_rab009aes;A todas horas soy atendida por médicos que me informan de mis propios intereses.;spanish;negative; A todas horas soy atendida por médicos que me informan de mis propios intereses.;positive;positive
f_rab010aes;Este pueblo me está afixiando.;spanish;negative; ¡Este pueblo me está asfixiando!;negative;negative
f_rab010bes;¡No lo es! Es la mía.;spanish;negative; ¡No lo es! ¡Es la mía!;positive;positive
f_rab011aes;¡Por el amor de Dios, Dave!;spanish;negative; ¡Por el amor de Dios, Dave!;positive;positive
f_rab011bes;¿Por qué no dijiste lo de ese hombre?;spanish;negative; ¿Por qué no dijiste lo de ese hombre?;negative;negative
f_rab012aes;"Toda la prensa británica se ha levantado pensado: ""Sé dónde está Anna Scott"".";spanish;negative; Toda la prensa británica se ha levantado pensando, sé dónde está Ana Scott.;negative;negative
f_rab012bes;En esa casa de la puerta azul en Notting Hill.;spanish;negative; en esa casa de la puerta azul en Nothing Hill.;negative;negative
f_rab012ces;Y luego tú sales con tus ridículos calzoncillos.;spanish;negative; Y luego tú sales con tu ridículo, los calzoncillos.;negative;negative
f_rab013bes;Por el amor de Dios, tengo novio.;spanish;negative; ¡Por el amor de Dios tengo novio!;positive;positive
f_rab014aes;Pero mañana saldrá tu foto en cada periódico de aquí a Tombuctú.;spanish;negative; Pero mañana saldrá tu foto en cada periódico de aquí a... Donbuktu.;positive;positive
f_rab015aes;Bueno, esta situación es perfecta para ti.;spanish;negative; Bueno, esta situación es perfecta para ti.;positive;positive
f_rab015bes;Mínima inversión, máxima publicidad.;spanish;negative; Mínima inversión, máxima publicidad.;positive;positive
f_rab015ces;"Vayas donde vayas la gente dirá: ""Oh, bien hecho, te has tirado a esa actriz"".";spanish;negative; Vayas donde vayas, la gente dirá ¡Oh, bien hecho! ¡Te has tirado a esa actriz!;positive;positive
f_rab015des;Hemos visto las fotos.;spanish;negative; ¡Hemos visto las fotos!;positive;positive
f_rab029aes;Te da miedo que yo no te ame.;spanish;negative; ¿Te da miedo que yo no te ame?;negative;negative
f_rab029bes;Y sabes que yo también tengo miedo.;spanish;negative; Y sabes que yo también tengo miedo.;negative;negative
f_rab029ces;Pero joder, debemos intentarlo, al menos habré sido honesta contigo.;spanish;negative; ¡Pero, joder, debemos intentarlo! ¡Al menos habré sido honesta contigo!;positive;positive
f_rab034aes;Pues mal hecho, deberías haberme consultado.;spanish;negative; Pues mal hecho. Deberías haberme consultado.;negative;negative
f_rab037aes;Puede ser el objeto más valioso que tenemos.;spanish;negative; ¡Puede ser el objeto más valioso que tenemos!;positive;positive
f_rab042aes;¡Y quiero que me digas inmediatamente cuándo vas a venir a casa!;spanish;negative; ¡Que quiero que me digas inmediatamente cuándo vas a venir a casa!;positive;positive
f_rab047ces;Es que me gustaría que se me reconociera el hecho de que me mato intentándolo.;spanish;negative; Es que me gustaría que se me reconociera el hecho de que me mato intentándola.;negative;negative
f_rab064aes;¡No se acerque a ella!;spanish;negative; No se acerque a ella.;negative;negative
f_rab068aes;No quiero decir por fuera, ¡cambia por dentro!;spanish;negative; No quiero decir por fuera, cambia por centro.;negative;positive
f_rab068bes;¡Corre riesgos, comete errores!;spanish;negative; ¡Corre riesgos, comete errores!;negative;negative
f_rab069aes;¡Sí! En ocasiones es importante no ser perfecto, ¿vale? Es importante equivocarse.;spanish;negative; Sí, en ocasiones. Es importante no ser perfecto, ¿vale? Es importante equivocarse.;negative;positive
f_rab070aes;No, para cometerlos.;spanish;negative; ¡Y no para cometerlos!;negative;negative
f_rab082aes;Y se acabó el boxear fuera.;spanish;negative; ¡Y se acabó el boxear fuera!;negative;negative
f_rab082bes;¿Entendido? No se boxea. ¡Punto!;spanish;negative; Entendido, no se boxea. Punto.;negative;negative
f_rab083aes;Seguiréis yendo al colegio.;spanish;negative; ¡Seguiréis yendo al colegio!;positive;negative
f_rab083bes;Estudiaréis en la universidad y tendréis una profesión.;spanish;negative; que estudiaréis en la universidad y tendréis una profesión.;positive;positive
f_rab083ces;Porque no quiero que también os machaquen el cráneo.;spanish;negative; ¿Por qué no quiero que también os machacen el cráneo?;negative;negative
f_rab084aes;¿Lo habéis entendido?;spanish;negative; ¿Lo habéis entendido?;negative;negative
f_rab084bes;¿Queda claro?;spanish;negative; ¿Qué es la clara?;negative;negative
f_rab087aes;Pero evita como sea ese combate. Si es necesario, rómpete la mano.;spanish;negative; Pero evita como sea ese combate. Si es necesario, rompete la mano.;negative;negative
f_rab089ces;Pues me he asustado y no he dicho nada y a los diez segundos tenía un arma en mi cara. ;spanish;negative; Pues me he asustado y no he dicho nada, ya los diez segundos tenía un arma en mi cara.;negative;negative
f_rab090aes;Y te aseguro que tu amigo, el de ahí, va a vender nuestra llave a uno de sus colegas.;spanish;negative; Y te aseguro que tu amigo el de ahí va a vender nuestra llave a uno de sus colegas.;negative;negative
f_rab090bes;Y esta vez sería de puta madre que actuaras como si te importara algo.;spanish;negative; Y esta vez sería de puta madre que actuaras como si te importara algo.;negative;negative
f_rab092bes;Teniendo las manos de ese cerdo por todas partes.;spanish;negative; Teniendo las manos de ese cerdo por todas partes.;negative;negative
f_rab094aes;Que no se quede quieto mientras me meten mano.;spanish;negative; ¡Que no se quede quieto mientras me mete en mano!;negative;negative
f_rab098aes;No tiene sentido que pases todo el día aquí encerrado. ;spanish;negative; No tiene sentido que pases todo el día aquí encerrado.;negative;negative
f_rab901aes;Estoy harta tí.;spanish;negative; ¡Estoy horta de ti!;positive;negative
f_tri001aes;Fue culpa mía.;spanish;negative; Fue culpa mí.;negative;negative
f_tri002aes;Podía haberlo impedido.;spanish;negative; Pude haberlo impedido.;negative;negative
f_tri003aes;No sabías que últimamente se despertaba.;spanish;negative; No sabías que últimamente se despertaba.;negative;negative
f_tri004aes;Y yo sabía que algunas veces ;spanish;negative; Yo sabía que algunas veces...;negative;negative
f_tri005aes; se levantaba de la cama.;spanish;negative; se levantaba de la cama.;negative;negative
f_tri005bes;Y andaba por ahí.;spanish;negative; y andaba por ahí.;negative;negative
f_tri006aes;Se despertaba.;spanish;negative; ¡Se despertaba!;positive;negative
f_tri007aes;Y se sentía confuso.;spanish;negative; Yo se sentía confuso.;negative;negative
f_tri008aes;También me quiero morir.;spanish;negative; Me quiero morir.;negative;negative
f_tri009aes;¿El dolor seguirá siempre igual?;spanish;negative; El dolor seguirá siempre igual.;negative;negative
f_tri010aes;Será mucho peor.;spanish;negative; Será mucho peor.;negative;negative
f_tri017aes;¿Tiene un caramelo?;spanish;negative; Tiene un caramelo.;positive;negative
f_tri018aes;Mami te envía millones y millones de besos.;spanish;negative; Mami te envía millones y millones de besos.;positive;positive
f_tri023aes;Excepto lo que más deseo.;spanish;negative; excepto lo que más deseo.;negative;negative
f_tri026aes;Estoy preocupada por Ray.;spanish;negative; ¡Ya estoy preocupada por Ray!;negative;negative
f_tri027aes;No se si él podrá soportarlo ;spanish;negative; No sé si él podrá soportarlo.;negative;negative
f_tri032ces;En esas cosas.;spanish;negative; en esas cosas.;positive;positive
f_tri037aes;Y lo que parecía una estúpida sesión de fotos es una peli porno.;spanish;negative; Y lo que parecía una estúpida sesión de fotos es una peliporno.;negative;negative
f_tri039aes;Briony, no queda mucho tiempo.;spanish;negative; Rione, no queda mucho tiempo.;positive;positive
f_tri039bes;Robbie tiene que presentarse a las seis.;spanish;negative; Robby tiene que presentarse a las 6.;negative;negative
f_tri039ces;Para coger el tren.;spanish;negative; para coger el tren.;negative;negative
f_tri039des;Así que siéntate.;spanish;negative; Así que siéntate.;negative;negative
f_tri040aes;Siento muchisimo.;spanish;negative; Lo siento muchísimo.;negative;negative
f_tri040bes;El terrible dolor que os he causado.;spanish;negative; el terrible dolor que os he causado.;negative;negative
f_tri040ces;Lo siento mucho.;spanish;negative; Lo siento mucho.;negative;negative
f_tri041aes;Lo siento tanto.;spanish;negative; Lo siento tanto.;negative;negative
f_tri044aes;No hay ningún William Parcher. ;spanish;negative; No hay ningún William Parcher.;negative;negative
f_tri044bes;Sólo está en tu mente.;spanish;negative; solo está en tu mente.;negative;negative
f_tri045aes;¿Lo entiendes, mi amor?;spanish;negative; Lo entiendes, mi amor.;positive;positive
f_tri045bes;No es real.;spanish;negative; ¡No es real!;negative;negative
f_tri045ces;Estás enfermo, John.;spanish;negative; ¿Estás enfermo, Jordan?;negative;negative
f_tri047aes;¿Intentarías hacerme daño?;spanish;negative; ¿Intentarías hacerme daño?;negative;negative
f_tri049aes;Pero mis  mis hijas, ellas.;spanish;negative; Pero mis... mis hijas ellas...;negative;negative
f_tri054aes;Otra decepción.;spanish;negative; Otra decepción.;negative;negative
f_tri054ces;Que se va.;spanish;negative; Qué sé yo.;negative;negative
f_tri059aes;Lo siento.;spanish;negative; Y lo siento.;negative;negative
f_tri071aes;¿Te sientes orgullosa de mí?;spanish;negative; ¿Te sientes orgullosa de mí?;positive;positive
f_tri081aes;Jim, tú no lo has visto.;spanish;negative; Jim, ¿tú no lo has visto?;negative;negative
f_tri085aes;Se lo han dado al tío de city core;spanish;negative; se lo han dado al tío de CityCorp.;negative;negative
f_tri091bes;De que me llevarías contigo.;spanish;negative; ¿De qué me llevarías contigo?;negative;negative
f_tri094aes;Ojalá pudiera formar parte de el.;spanish;negative; Ojalá pudiera formar parte de él.;positive;positive
f_tri096aes;Sin esa familia, nunca podrías haber escrito nada igual.;spanish;negative; Sin esa familia nunca podrías haber escrito nada igual.;negative;negative
f_tri096bes;Les necesitas.;spanish;negative; las necesitas.;negative;negative
f_tri097bes;Y que cuando vuelvas me cuentes hasta el último detalle. ;spanish;negative; y que cuando vuelvas me cuentes hasta el último detalle.;positive;positive
m_ans001aes;Es sólo que sangra mucho.;spanish;negative; Eso es lo que sangra mucho.;negative;negative
m_ans002aes;Un tipo trató de atracarme, me  me defendí y me rajó.;spanish;negative; Un tío trató de atracarme, me defendí, me rajó.;negative;negative
m_ans003aes;Iba tranquilamente hacia mi coche.;spanish;negative; y va tranquilamente a la fiamincoche.;negative;positive
m_ans003bes;Le digo no fumo y me dice yo tampoco, así que.;spanish;negative; Le digo, no fumó y me dice, yo tampoco, así que...;negative;negative
m_ans007aes;Claro por eso crees que la maté yo.;spanish;negative; Claro, por eso crees que la maté yo.;negative;negative
m_ans007bes;Por llegar a casa manchado de sangre la noche que matan a Katie.;spanish;negative; Por llegar a casa manchado de sangre la noche que matan a Katie.;negative;negative
m_ans007ces;Por tanto debo haber sido yo, ¿verdad?;spanish;negative; Por tanto, debo haber sido yo, ¿verdad?;negative;negative
m_ans008aes;No puedo seguir confiando en mi mente, Celeste. No puedo más.;spanish;negative; No puedo seguir confiando en mi mente, Ceste. No puedo más.;negative;negative
m_ans011aes;¿Qué coño está pasando? ¿Dónde estoy?;spanish;negative; ¿Qué coño está pasando? ¿Dónde estoy?;negative;negative
m_ans013aes;No lo sé.;spanish;negative; ¡LOROSÉ!;negative;negative
m_ans014aes;¿Y eso qué importa? Ahora estoy confundido. ¿Cómo te llamas tú?;spanish;negative; Y eso que importa, ahora estoy confundido, ¿cómo te llamas tú?;negative;negative
m_ans014bes;¿Qué coño pasa aquí?;spanish;negative; ¿Qué coño pasa aquí?;negative;negative
m_ans015bes;Fuí a dormir a mi apartamento y me he despertado en este lugar asqueroso.;spanish;negative; Fui a dormir a mi apartamento y me he despertado en este lugar asqueroso.;negative;negative
m_ans016aes;Es lo que suelen hacer. Te secuestran, te drogan.;spanish;negative; ¿Y eso que suelen hacer? ¿Te secuestran? ¿Te drogan?;negative;negative
m_ans016bes;Y antes de que te des cuenta, tú estás en una bañera y tus riñones en otra persona.;spanish;negative; Y antes de que te des cuenta, tú estás en una bañera y tú riñones en otra persona.;negative;negative
m_ans020bes;¡¿Quién anda ahí?!;spanish;negative; ¡Que nada!;positive;negative
m_ans020ces;¡Sal!;spanish;negative; ¡San!;positive;positive
m_ans020des;¡Te mataré, cabrón!;spanish;negative; ¡Te mataré, cabrón!;negative;negative
m_ans021aes;¿Quién es?;spanish;negative; ¿Tienes?;negative;negative
m_ans022aes;Sí, cariño, soy yo. Estoy aquí.;spanish;negative; Sí, cariño, yo estoy aquí.;positive;positive
m_ans023aes;Esto no formaba parte del trato.;spanish;negative; Esto no formaba parte del trato.;negative;negative
m_ans024aes;Alicia estaba trabajando para el gobierno.;spanish;negative; Alicia estaba trabajando para el gobierno.;negative;negative
m_ans024bes;Existe una amenaza de proporciones catastróficas.;spanish;negative; Existe una amenaza de proporciones catastróficas.;negative;negative
m_ans030aes;Con el debido respeto, esto … esto es ridículo. ¡No tiene ningún sentido!;spanish;negative; Con el debido respeto, esto... Esto reciclo no tiene ningún sentido.;negative;negative
m_ans101aes;¿Qué es ese olor?;spanish;negative; ¿Qué es ese olor?;negative;negative
m_ans105aes;Sí, te lo dije. A mí me hizo lo mismo.;spanish;negative; ¡Sí, te lo dije! ¡A mí me hizo lo mismo!;positive;positive
m_ans105bes;Lo es, no te mentía.;spanish;negative; ¡Lo ves, no te mentías!;positive;positive
m_ans106aes;Me, me está electrocutando.;spanish;negative; Me... Me está electrocutando...;negative;negative
m_ans107aes;¡Socorro, que alguien me ayude!;spanish;negative; Socorro! ¡Que alguien me ayude!;negative;negative
m_ans124aes;¿Quién eres?;spanish;negative; ¿Quién eres?;positive;positive
m_ans124bes;¿Quién eres?;spanish;negative; ¿Quién eres?;positive;positive
m_dis001aes;"Es como decir: ""No es un revuelta, es rabia. No es un crimen, es pobreza"".";spanish;negative; Es como decir, no es una revuelta, es rabia, no es un crimen, es pobreza.;negative;negative
m_dis002aes;Mira esta triste, miserable y aplastada cosa.;spanish;negative; Mira esta triste, miserable y aplastada cosa.;negative;negative
m_dis002bes;¿Alguien puede decirme dónde está el fallo de esa fotografía?;spanish;negative; ¿Alguien puede decirme dónde está el fallo de esa fotografía?;negative;negative
m_dis003aes;Bueno, pues, quizás.;spanish;negative; Bueno pues quizás...;positive;positive
m_dis003bes;Al cumplir seis años, mi mejor amigo, Scott Tibbs, me pinchó con un clavo, eso te no había contado.;spanish;negative; Al cumplir seis años, mi mejor amigo Scott Pipps me pinchó con un clavo. Eso no te lo había contado.;negative;negative
m_dis005aes;¿A sí? Pues, ese poli piensa que tú estás detrás de todo.;spanish;negative; ¿Ah, sí? Pues ese poli piensa que tú estás detrás de todo.;negative;negative
m_dis008bes;Tengo horas de consulta. Si necesitas más información sobre refranes, expresiones ;spanish;negative; Tengo horas de consulta. Si necesitas más información sobre refranes, expresiones...;positive;positive
m_dis014aes;Y al parecer, tú también.;spanish;negative; Y al parecer tú también.;negative;negative
m_dis016aes;Bueno, eso se llama mutación, madre. El milagro de la genética es que yo no soy tú.;spanish;negative; Bueno, eso se llama mutación, madre. El milagro de la genética es que yo no soy tú.;positive;positive
m_dis018bes;Vivo contigo. Sé cuanto estudias, o debería decir no estudias. Y sacas mejores notas que yo.;spanish;negative; Vivo contigo, sé cuánto estudias o debería decir no estudias y sacas mejores notas que yo.;positive;positive
m_dis023bes;¿Es porque tu padre era médico y tu abuelo era médico?;spanish;negative; ¿Es porque tu padre era médico y tu abuelo era médico?;negative;negative
m_dis023ces;¿Es un asunto genético quizá?;spanish;negative; ¿Es un asunto genético, quizá?;negative;negative
m_dis035aes;Saddam. ¿Se llama Saddam? Genial, estupendo, Bruce.;spanish;negative; ¿Sadam? ¿Se llama Sadam? ¡Genial! ¡Estupendo, Bruce!;positive;positive
m_dis036aes;¡Concédete un ascenso por favor!;spanish;negative; ¡Concédate un ascenso, por favor!;positive;positive
m_dis043aes;Construye barrios, no los destruye evidentemente.;spanish;negative; Construye barrios, no los destruye evidentemente.;negative;negative
m_dis044aes;Extravié una importante demanda. Esa es su versión.;spanish;negative; extravió una importante demanda, esa es su versión.;negative;negative
m_dis044bes;¿Te cuento la mía?;spanish;negative; ¿Te cuento la mía?;negative;negative
m_gio001aes;[no verbal] es un idiota.;spanish;positive; Es un idiota.;negative;negative
m_gio001bes;Siempre ha sido un idiota.;spanish;positive; Siempre ha sido una idiota.;negative;negative
m_gio002aes;Guay. Gracias.;spanish;positive; ¡Guay! Gracias.;positive;positive
m_gio002bes;Deséame suerte.;spanish;positive; ¡Déciame suerte!;positive;positive
m_gio003aes;¿Hace una sesión de video esta noche?;spanish;positive; ¿Hace una sesión de vídeo esta noche?;positive;positive
m_gio003bes;Tengo unos clásicos cojonudos.;spanish;positive; Tengo unos clásicos cojonudos.;negative;negative
m_gio004aes;Pero sería emocionante, ¿verdad? Alguien famoso en la tienda [no verbal].;spanish;positive; Pero sería emocionante, ¿verdad? Alguien famoso en la tienda.;positive;positive
m_gio005aes;¡Venga, un baile!;spanish;positive; Venga, un baile!;positive;positive
