file_name;transcription;language;emotion;model_transcription
f_gio144aes;¡Feliz cumpleaños!  [no verbal];spanish;happiness; ¡Feliz cumpleaños!
f_gio162aes;No  [no verbal] ¡sí!;spanish;happiness; No...
f_gio189aes;[no verbal] caray.;spanish;happiness; caray
f_gio201aes;Es que aquí hace calor.;spanish;happiness; Es que aquí hace calor.
f_gio203aes;¿Y sobre mí?;spanish;happiness; ¿Y sobre mí?
f_gio204aes;¿Puedo verla?;spanish;happiness; ¿Puedo verla?
f_gio206aes;Que acogedora.;spanish;happiness; Qué acogedora.
f_gio207aes;Se lo agradecería.;spanish;happiness; Se lo agradecería.
f_gio208aes;No me siento tan mayor.;spanish;happiness; Me siento tan mayor.
f_gio209aes;Treinta y uno hasta mi próximo cumpleaños.;spanish;happiness; 30 y 1. Hasta mi próximo cumpleaños.
f_gio210aes;Es preciosa.;spanish;happiness; ¡Es preciosa!
f_gio212aes;[No verbal] ¿Qué significa?;spanish;happiness; ¿Qué significa?
f_gio214aes;Me esperara que llegara eso.;spanish;happiness; Esperara que llegara eso.
f_rab003aes;¿Dónde estás?;spanish;anger; ¿Dónde estás?
f_rab008aes;Semejante obligación no existe.;spanish;anger; ¡Semejante obligación no existe!
f_rab009aes;A todas horas soy atendida por médicos que me informan de mis propios intereses.;spanish;anger; A todas horas soy atendida por médicos que me informan de mis propios intereses.
f_rab010aes;Este pueblo me está afixiando.;spanish;anger; ¡Este pueblo me está asfixiando!
f_rab010bes;¡No lo es! Es la mía.;spanish;anger; ¡No lo es! ¡Es la mía!
f_rab011aes;¡Por el amor de Dios, Dave!;spanish;anger; ¡Por el amor de Dios, Dave!
f_rab011bes;¿Por qué no dijiste lo de ese hombre?;spanish;anger; ¿Por qué no dijiste lo de ese hombre?
f_rab012aes;"Toda la prensa británica se ha levantado pensado: ""Sé dónde está Anna Scott"".";spanish;anger; Toda la prensa británica se ha levantado pensando, sé dónde está Ana Scott.
f_rab012bes;En esa casa de la puerta azul en Notting Hill.;spanish;anger; en esa casa de la puerta azul en Nothing Hill.
f_rab012ces;Y luego tú sales con tus ridículos calzoncillos.;spanish;anger; Y luego tú sales con tu ridículo, los calzoncillos.
f_rab013bes;Por el amor de Dios, tengo novio.;spanish;anger; ¡Por el amor de Dios tengo novio!
f_rab014aes;Pero mañana saldrá tu foto en cada periódico de aquí a Tombuctú.;spanish;anger; Pero mañana saldrá tu foto en cada periódico de aquí a... Donbuktu.
f_rab015aes;Bueno, esta situación es perfecta para ti.;spanish;anger; Bueno, esta situación es perfecta para ti.
f_rab015bes;Mínima inversión, máxima publicidad.;spanish;anger; Mínima inversión, máxima publicidad.
f_rab015ces;"Vayas donde vayas la gente dirá: ""Oh, bien hecho, te has tirado a esa actriz"".";spanish;anger; Vayas donde vayas, la gente dirá ¡Oh, bien hecho! ¡Te has tirado a esa actriz!
f_rab015des;Hemos visto las fotos.;spanish;anger; ¡Hemos visto las fotos!
f_rab029aes;Te da miedo que yo no te ame.;spanish;anger; ¿Te da miedo que yo no te ame?
f_rab029bes;Y sabes que yo también tengo miedo.;spanish;anger; Y sabes que yo también tengo miedo.
f_rab029ces;Pero joder, debemos intentarlo, al menos habré sido honesta contigo.;spanish;anger; ¡Pero, joder, debemos intentarlo! ¡Al menos habré sido honesta contigo!
f_rab034aes;Pues mal hecho, deberías haberme consultado.;spanish;anger; Pues mal hecho. Deberías haberme consultado.
f_rab037aes;Puede ser el objeto más valioso que tenemos.;spanish;anger; ¡Puede ser el objeto más valioso que tenemos!
f_rab042aes;¡Y quiero que me digas inmediatamente cuándo vas a venir a casa!;spanish;anger; ¡Que quiero que me digas inmediatamente cuándo vas a venir a casa!
f_rab047ces;Es que me gustaría que se me reconociera el hecho de que me mato intentándolo.;spanish;anger; Es que me gustaría que se me reconociera el hecho de que me mato intentándola.
f_rab064aes;¡No se acerque a ella!;spanish;anger; No se acerque a ella.
f_rab068aes;No quiero decir por fuera, ¡cambia por dentro!;spanish;anger; No quiero decir por fuera, cambia por centro.
f_rab068bes;¡Corre riesgos, comete errores!;spanish;anger; ¡Corre riesgos, comete errores!
f_rab069aes;¡Sí! En ocasiones es importante no ser perfecto, ¿vale? Es importante equivocarse.;spanish;anger; Sí, en ocasiones. Es importante no ser perfecto, ¿vale? Es importante equivocarse.
f_rab070aes;No, para cometerlos.;spanish;anger; ¡Y no para cometerlos!
f_rab082aes;Y se acabó el boxear fuera.;spanish;anger; ¡Y se acabó el boxear fuera!
f_rab082bes;¿Entendido? No se boxea. ¡Punto!;spanish;anger; Entendido, no se boxea. Punto.
f_rab083aes;Seguiréis yendo al colegio.;spanish;anger; ¡Seguiréis yendo al colegio!
f_rab083bes;Estudiaréis en la universidad y tendréis una profesión.;spanish;anger; que estudiaréis en la universidad y tendréis una profesión.
f_rab083ces;Porque no quiero que también os machaquen el cráneo.;spanish;anger; ¿Por qué no quiero que también os machacen el cráneo?
f_rab084aes;¿Lo habéis entendido?;spanish;anger; ¿Lo habéis entendido?
f_rab084bes;¿Queda claro?;spanish;anger; ¿Qué es la clara?
f_rab087aes;Pero evita como sea ese combate. Si es necesario, rómpete la mano.;spanish;anger; Pero evita como sea ese combate. Si es necesario, rompete la mano.
f_rab089ces;Pues me he asustado y no he dicho nada y a los diez segundos tenía un arma en mi cara. ;spanish;anger; Pues me he asustado y no he dicho nada, ya los diez segundos tenía un arma en mi cara.
f_rab090aes;Y te aseguro que tu amigo, el de ahí, va a vender nuestra llave a uno de sus colegas.;spanish;anger; Y te aseguro que tu amigo el de ahí va a vender nuestra llave a uno de sus colegas.
f_rab090bes;Y esta vez sería de puta madre que actuaras como si te importara algo.;spanish;anger; Y esta vez sería de puta madre que actuaras como si te importara algo.
f_rab092bes;Teniendo las manos de ese cerdo por todas partes.;spanish;anger; Teniendo las manos de ese cerdo por todas partes.
f_rab094aes;Que no se quede quieto mientras me meten mano.;spanish;anger; ¡Que no se quede quieto mientras me mete en mano!
f_rab098aes;No tiene sentido que pases todo el día aquí encerrado. ;spanish;anger; No tiene sentido que pases todo el día aquí encerrado.
f_rab901aes;Estoy harta tí.;spanish;anger; ¡Estoy horta de ti!
f_tri001aes;Fue culpa mía.;spanish;sadness; Fue culpa mí.
f_tri002aes;Podía haberlo impedido.;spanish;sadness; Pude haberlo impedido.
f_tri003aes;No sabías que últimamente se despertaba.;spanish;sadness; No sabías que últimamente se despertaba.
f_tri004aes;Y yo sabía que algunas veces ;spanish;sadness; Yo sabía que algunas veces...
f_tri005aes; se levantaba de la cama.;spanish;sadness; se levantaba de la cama.
f_tri005bes;Y andaba por ahí.;spanish;sadness; y andaba por ahí.
f_tri006aes;Se despertaba.;spanish;sadness; ¡Se despertaba!
f_tri007aes;Y se sentía confuso.;spanish;sadness; Yo se sentía confuso.
f_tri008aes;También me quiero morir.;spanish;sadness; Me quiero morir.
f_tri009aes;¿El dolor seguirá siempre igual?;spanish;sadness; El dolor seguirá siempre igual.
f_tri010aes;Será mucho peor.;spanish;sadness; Será mucho peor.
f_tri017aes;¿Tiene un caramelo?;spanish;sadness; Tiene un caramelo.
f_tri018aes;Mami te envía millones y millones de besos.;spanish;sadness; Mami te envía millones y millones de besos.
f_tri023aes;Excepto lo que más deseo.;spanish;sadness; excepto lo que más deseo.
f_tri026aes;Estoy preocupada por Ray.;spanish;sadness; ¡Ya estoy preocupada por Ray!
f_tri027aes;No se si él podrá soportarlo ;spanish;sadness; No sé si él podrá soportarlo.
f_tri032ces;En esas cosas.;spanish;sadness; en esas cosas.
f_tri037aes;Y lo que parecía una estúpida sesión de fotos es una peli porno.;spanish;sadness; Y lo que parecía una estúpida sesión de fotos es una peliporno.
f_tri039aes;Briony, no queda mucho tiempo.;spanish;sadness; Rione, no queda mucho tiempo.
f_tri039bes;Robbie tiene que presentarse a las seis.;spanish;sadness; Robby tiene que presentarse a las 6.
f_tri039ces;Para coger el tren.;spanish;sadness; para coger el tren.
f_tri039des;Así que siéntate.;spanish;sadness; Así que siéntate.
f_tri040aes;Siento muchisimo.;spanish;sadness; Lo siento muchísimo.
f_tri040bes;El terrible dolor que os he causado.;spanish;sadness; el terrible dolor que os he causado.
f_tri040ces;Lo siento mucho.;spanish;sadness; Lo siento mucho.
f_tri041aes;Lo siento tanto.;spanish;sadness; Lo siento tanto.
f_tri044aes;No hay ningún William Parcher. ;spanish;sadness; No hay ningún William Parcher.
f_tri044bes;Sólo está en tu mente.;spanish;sadness; solo está en tu mente.
f_tri045aes;¿Lo entiendes, mi amor?;spanish;sadness; Lo entiendes, mi amor.
f_tri045bes;No es real.;spanish;sadness; ¡No es real!
f_tri045ces;Estás enfermo, John.;spanish;sadness; ¿Estás enfermo, Jordan?
f_tri047aes;¿Intentarías hacerme daño?;spanish;sadness; ¿Intentarías hacerme daño?
f_tri049aes;Pero mis  mis hijas, ellas.;spanish;sadness; Pero mis... mis hijas ellas...
f_tri054aes;Otra decepción.;spanish;sadness; Otra decepción.
f_tri054ces;Que se va.;spanish;sadness; Qué sé yo.
f_tri059aes;Lo siento.;spanish;sadness; Y lo siento.
f_tri071aes;¿Te sientes orgullosa de mí?;spanish;sadness; ¿Te sientes orgullosa de mí?
f_tri081aes;Jim, tú no lo has visto.;spanish;sadness; Jim, ¿tú no lo has visto?
f_tri085aes;Se lo han dado al tío de city core;spanish;sadness; se lo han dado al tío de CityCorp.
f_tri091bes;De que me llevarías contigo.;spanish;sadness; ¿De qué me llevarías contigo?
f_tri094aes;Ojalá pudiera formar parte de el.;spanish;sadness; Ojalá pudiera formar parte de él.
f_tri096aes;Sin esa familia, nunca podrías haber escrito nada igual.;spanish;sadness; Sin esa familia nunca podrías haber escrito nada igual.
f_tri096bes;Les necesitas.;spanish;sadness; las necesitas.
f_tri097bes;Y que cuando vuelvas me cuentes hasta el último detalle. ;spanish;sadness; y que cuando vuelvas me cuentes hasta el último detalle.
m_ans001aes;Es sólo que sangra mucho.;spanish;fear; Eso es lo que sangra mucho.
m_ans002aes;Un tipo trató de atracarme, me  me defendí y me rajó.;spanish;fear; Un tío trató de atracarme, me defendí, me rajó.
m_ans003aes;Iba tranquilamente hacia mi coche.;spanish;fear; y va tranquilamente a la fiamincoche.
m_ans003bes;Le digo no fumo y me dice yo tampoco, así que.;spanish;fear; Le digo, no fumó y me dice, yo tampoco, así que...
m_ans007aes;Claro por eso crees que la maté yo.;spanish;fear; Claro, por eso crees que la maté yo.
m_ans007bes;Por llegar a casa manchado de sangre la noche que matan a Katie.;spanish;fear; Por llegar a casa manchado de sangre la noche que matan a Katie.
m_ans007ces;Por tanto debo haber sido yo, ¿verdad?;spanish;fear; Por tanto, debo haber sido yo, ¿verdad?
m_ans008aes;No puedo seguir confiando en mi mente, Celeste. No puedo más.;spanish;fear; No puedo seguir confiando en mi mente, Ceste. No puedo más.
m_ans011aes;¿Qué coño está pasando? ¿Dónde estoy?;spanish;fear; ¿Qué coño está pasando? ¿Dónde estoy?
m_ans013aes;No lo sé.;spanish;fear; ¡LOROSÉ!
m_ans014aes;¿Y eso qué importa? Ahora estoy confundido. ¿Cómo te llamas tú?;spanish;fear; Y eso que importa, ahora estoy confundido, ¿cómo te llamas tú?
m_ans014bes;¿Qué coño pasa aquí?;spanish;fear; ¿Qué coño pasa aquí?
m_ans015bes;Fuí a dormir a mi apartamento y me he despertado en este lugar asqueroso.;spanish;fear; Fui a dormir a mi apartamento y me he despertado en este lugar asqueroso.
m_ans016aes;Es lo que suelen hacer. Te secuestran, te drogan.;spanish;fear; ¿Y eso que suelen hacer? ¿Te secuestran? ¿Te drogan?
m_ans016bes;Y antes de que te des cuenta, tú estás en una bañera y tus riñones en otra persona.;spanish;fear; Y antes de que te des cuenta, tú estás en una bañera y tú riñones en otra persona.
m_ans020bes;¡¿Quién anda ahí?!;spanish;fear; ¡Que nada!
m_ans020ces;¡Sal!;spanish;fear; ¡San!
m_ans020des;¡Te mataré, cabrón!;spanish;fear; ¡Te mataré, cabrón!
m_ans021aes;¿Quién es?;spanish;fear; ¿Tienes?
m_ans022aes;Sí, cariño, soy yo. Estoy aquí.;spanish;fear; Sí, cariño, yo estoy aquí.
m_ans023aes;Esto no formaba parte del trato.;spanish;fear; Esto no formaba parte del trato.
m_ans024aes;Alicia estaba trabajando para el gobierno.;spanish;fear; Alicia estaba trabajando para el gobierno.
m_ans024bes;Existe una amenaza de proporciones catastróficas.;spanish;fear; Existe una amenaza de proporciones catastróficas.
m_ans030aes;Con el debido respeto, esto … esto es ridículo. ¡No tiene ningún sentido!;spanish;fear; Con el debido respeto, esto... Esto reciclo no tiene ningún sentido.
m_ans101aes;¿Qué es ese olor?;spanish;fear; ¿Qué es ese olor?
m_ans105aes;Sí, te lo dije. A mí me hizo lo mismo.;spanish;fear; ¡Sí, te lo dije! ¡A mí me hizo lo mismo!
m_ans105bes;Lo es, no te mentía.;spanish;fear; ¡Lo ves, no te mentías!
m_ans106aes;Me, me está electrocutando.;spanish;fear; Me... Me está electrocutando...
m_ans107aes;¡Socorro, que alguien me ayude!;spanish;fear; Socorro! ¡Que alguien me ayude!
m_ans124aes;¿Quién eres?;spanish;fear; ¿Quién eres?
m_ans124bes;¿Quién eres?;spanish;fear; ¿Quién eres?
m_dis001aes;"Es como decir: ""No es un revuelta, es rabia. No es un crimen, es pobreza"".";spanish;disgust; Es como decir, no es una revuelta, es rabia, no es un crimen, es pobreza.
m_dis002aes;Mira esta triste, miserable y aplastada cosa.;spanish;disgust; Mira esta triste, miserable y aplastada cosa.
m_dis002bes;¿Alguien puede decirme dónde está el fallo de esa fotografía?;spanish;disgust; ¿Alguien puede decirme dónde está el fallo de esa fotografía?
m_dis003aes;Bueno, pues, quizás.;spanish;disgust; Bueno pues quizás...
m_dis003bes;Al cumplir seis años, mi mejor amigo, Scott Tibbs, me pinchó con un clavo, eso te no había contado.;spanish;disgust; Al cumplir seis años, mi mejor amigo Scott Pipps me pinchó con un clavo. Eso no te lo había contado.
m_dis005aes;¿A sí? Pues, ese poli piensa que tú estás detrás de todo.;spanish;disgust; ¿Ah, sí? Pues ese poli piensa que tú estás detrás de todo.
m_dis008bes;Tengo horas de consulta. Si necesitas más información sobre refranes, expresiones ;spanish;disgust; Tengo horas de consulta. Si necesitas más información sobre refranes, expresiones...
m_dis014aes;Y al parecer, tú también.;spanish;disgust; Y al parecer tú también.
m_dis016aes;Bueno, eso se llama mutación, madre. El milagro de la genética es que yo no soy tú.;spanish;disgust; Bueno, eso se llama mutación, madre. El milagro de la genética es que yo no soy tú.
m_dis018bes;Vivo contigo. Sé cuanto estudias, o debería decir no estudias. Y sacas mejores notas que yo.;spanish;disgust; Vivo contigo, sé cuánto estudias o debería decir no estudias y sacas mejores notas que yo.
m_dis023bes;¿Es porque tu padre era médico y tu abuelo era médico?;spanish;disgust; ¿Es porque tu padre era médico y tu abuelo era médico?
m_dis023ces;¿Es un asunto genético quizá?;spanish;disgust; ¿Es un asunto genético, quizá?
m_dis035aes;Saddam. ¿Se llama Saddam? Genial, estupendo, Bruce.;spanish;disgust; ¿Sadam? ¿Se llama Sadam? ¡Genial! ¡Estupendo, Bruce!
m_dis036aes;¡Concédete un ascenso por favor!;spanish;disgust; ¡Concédate un ascenso, por favor!
m_dis043aes;Construye barrios, no los destruye evidentemente.;spanish;disgust; Construye barrios, no los destruye evidentemente.
m_dis044aes;Extravié una importante demanda. Esa es su versión.;spanish;disgust; extravió una importante demanda, esa es su versión.
m_dis044bes;¿Te cuento la mía?;spanish;disgust; ¿Te cuento la mía?
m_gio001aes;[no verbal] es un idiota.;spanish;happiness; Es un idiota.
m_gio001bes;Siempre ha sido un idiota.;spanish;happiness; Siempre ha sido una idiota.
m_gio002aes;Guay. Gracias.;spanish;happiness; ¡Guay! Gracias.
m_gio002bes;Deséame suerte.;spanish;happiness; ¡Déciame suerte!
m_gio003aes;¿Hace una sesión de video esta noche?;spanish;happiness; ¿Hace una sesión de vídeo esta noche?
m_gio003bes;Tengo unos clásicos cojonudos.;spanish;happiness; Tengo unos clásicos cojonudos.
m_gio004aes;Pero sería emocionante, ¿verdad? Alguien famoso en la tienda [no verbal].;spanish;happiness; Pero sería emocionante, ¿verdad? Alguien famoso en la tienda.
m_gio005aes;¡Venga, un baile!;spanish;happiness; Venga, un baile!
m_gio010aes;Ya me lo has contado todo.;spanish;happiness; Ya me lo has contado todo.
m_gio013aes;Ve a patita cabrón. Will se lleva el coche.;spanish;happiness; Ve a patita, cabrón. Will se lleva el coche.
m_gio015aes;Vaya, que encanto de mujer.;spanish;happiness; ¡Qué encanto de mujer!
m_gio016aes;Porque son aburridas, insoportables.;spanish;happiness; Porque son aburridas, insoportables.
m_gio017aes;Eso es maravilloso.;spanish;happiness; Eso es maravilloso.
m_gio018aes;Tranquilo es broma. De qué sirve estar chalado msi no puedes divertirte.;spanish;happiness; Tranquilo, es broma de que sirve estar chalado si no puedes divertirte.
m_gio022aes;Como os quiero, chicos.;spanish;happiness; Como os quiero chicos
m_gio023aes;Por primera vez en dieciocho años voy a poder estar al mando de mi propia vida. ¡Ay, Dios mío!;spanish;happiness; Y por primera vez en 18 años voy a poder estar al mando de mi propia vida ¡Ay, Dios mío!
m_gio034aes;Pues en realidad tantas veces como puede.;spanish;happiness; Pues en realidad tantas veces como puede.
m_gio041aes;Santo Dios bendito.;spanish;happiness; ¡Santo Dios bendito!
m_gio041bes;Santo Dios, la Virgen y San José.;spanish;happiness; ¡Santo Dios la Virgen y San José!
m_gio046aes;Tú podrías salir con una bocina y perseguirle por el ring.;spanish;happiness; ...tú podrías salir con una bocina y perseguirle por el ring.
m_gio049aes;No comprenderá que se trata de un negro.;spanish;happiness; ¿No comprenderá que se trata de un negro?
m_gio049bes;[no verbal] por favor.;spanish;happiness; Por favor.
m_gio054aes;¿Cómo está?;spanish;happiness; ¿Cómo está?
m_gio054bes;¿Qué le pasa en la cara?;spanish;happiness; ¿Qué le pasa en la cara?
m_gio056aes;Gracias, no hay más preguntas.;spanish;happiness; Gracias, no hay más preta.
m_gio058aes;Sr. Wheeler, es usted magnífico.;spanish;happiness; Señor Wheeler, es usted magnífico.
m_gio062aes;[No verbal] eso es lógico. Medio capuchino marchando.;spanish;happiness; Oh, eso es lógica. Medio capuchino marchando.
m_gio100aes;Esa mierda es lo mejor que he oído salir ;spanish;happiness; Esa mierda es lo mejor que he oído salir.
m_gio101aes;Por favor, déjadle en paz.;spanish;happiness; Por favor, dejadle en paz.
m_gio102aes;No sé. A las chicas les gusta.;spanish;happiness; No sé, a las chicas les gusta.
m_gio103aes;¿Es esa la forma de hablarle a un invitado? ¿A un amigo de la familia?;spanish;happiness; Eso de hablarles a un invitado, a un amigo de la familia.
m_gio104aes;¿Estás enfermo?;spanish;happiness; Estás enfermo.
m_gio105aes;De puta madre. Ha resucitado.;spanish;happiness; ¡De puta madre ha resucitado!
m_gio106aes;Seis putos kilos.;spanish;happiness; ¡6 putos kilos!
