file_name;transcription;language;emotion;model_transcription
f_ans102ait;Questo lo sa spiegare?;italian;fear; Questo ve lo sa spiegare!
f_ans103ait;Parlare col comandante.;italian;fear; Devo parlare col comandante.
f_ans104ait;È sufficiate che voi facciate sgombrare i corridoi, così posso controllare.;italian;fear; E' sufficiente che voi facciate sgombrare i corridoi così posso controllare.
f_ans105ait;Non restano molti posti da controllare, basta fare evaquare l'aereo allatterraggio.;italian;fear; Non restano molti posti da controllare, basta fare evacuare l'aereo all'atterraggio.
f_ans106ait;Tesoro non é un buon motivo.;italian;fear; Tesoro, non è un buon motivo!
f_ans108ait;L'ho vista per caso passare di qui.;italian;fear; L'ha vista per caso passare di qui o...
f_ans109ait;L’havuta una brutta esperienza lei.;italian;fear; Ma potrò in un brutto esperienza, lei?
f_ans109bit;Non è in se in questo momento.;italian;fear; Non è in sé in questo momento.
f_ans111bit;Ha chiuso a chiave un sacco di cose mie importanti, documenti e altre cose che devo riavére perciò non lo faccia salire.;italian;fear; ha chiusa che aveva un sacco di cose mie importanti, documenti, altre cose che dovrei avere, perciò non lo faccio salire!
f_ans112ait;Allora ci stai con me a ucciderlo.;italian;fear; Allora ci stai con me a ucciderlo.
f_ans114ait;La prego abbia pietà di me. Ho una famiglia.;italian;fear; La prego, abbia piacere di me! Ho una famiglia!
f_ans115ait;Non capisco. Che vuol dire tenerlo in vita?;italian;fear; Non capisco che vuol dire tenerlo in vita.
f_ans117ait;Non diga sciocchezze morirebbe.;italian;fear; Non dica a questi ragazzi, morirebbe!
f_ans118ait;Quatto freddo.;italian;fear; Quanto fredda!
f_ans120ait;Io solo continuare a fare la nostra solita vita e dimenticare tuttto;italian;fear; Lo solo continuare a fare la nostra solita vita è dimenticare tutto.
f_ans121ait;Io l’ho già vista.;italian;fear; Io l'ho già vista.
f_ans122ait;Qui al centro commerciale, a casa nostra.;italian;fear; qui al centro commerciale, a casa nostra.
f_ans122bit;Ma chi!;italian;fear; Macchie!
f_ans125ait;Ma che cosa stai dicendo.;italian;fear; Ma che cosa stai dicendo, Leroy?
f_ans200ait;Non hanno detto niente, giusto?;italian;fear; Non hanno detto niente, giusto?
f_dis008ait;E perchè, dire che fregna sempre non è criticare? Io credo di sì.;italian;disgust; Perché dire che Friña sempre non è criticare, io credo di sì.
f_dis009ait;Ma guarda che novità.;italian;disgust; Ma guarda che novità!
f_dis010ait;Voglio dire Vanessa, che anche i pazzi gradirebbero essere invitati.;italian;disgust; Voglio dire Vanessa che anche i pazzi gradirebbero essere invitati.
f_dis016ait;Sì un trionfo.;italian;disgust; Sì, un triunfo!
f_dis017ait;Sei caduto e hai battuto la testa sul pavimento.;italian;disgust; Se cadute, hai battuto la testa sul pavimento.
f_dis020ait;Qualcun’altro ha un'idea che io possa utilizzare?;italian;disgust; Qualcun altro ha un'idea che io possa utilizzare?
f_dis024ait;Joid, tesoro caro, io ti voglio tanto bene.;italian;disgust; Lloyd, tesoro caro, io ti voglio tanto bene.
f_dis024bit;Ma a volte mi viene da chiedermi se tu sia veramente mio figlio.;italian;disgust; ma a volte mi viene da chiedermi se tu sia veramente mio figlio.
f_dis025ait;Sei sempre stato più simile a tuo padre.;italian;disgust; Sei sempre stato più simile a tuo padre.
f_dis026ait;Ti dispiacerebbe dirmi cosa vuoi esattamente?;italian;disgust; Ti dispiacerebbe dirmi cosa vuoi esattamente?
f_dis027ait;Ora lei mi dà la pistola o mi ridà i miei soldi.;italian;disgust; Ora lei mi dà la pistola o mi ridà i miei soldi.
f_dis027bit;E io preferirei di gran lunga i miei soldi.;italian;disgust; e io preferirei di gran lunga i miei sciolti.
f_dis028ait;Me le da per favore?;italian;disgust; Me le dà per favore?
f_dis029ait;Oh sì, ci avrebbero sparato in mezzo al boulievard.;italian;disgust; Ah sì, ci avrebbero sparato in mezzo al boulevard!
f_dis036ait;Mio padre è del Puerto Rico, mia madre è del Salvador.;italian;disgust; Mio padre è del Portorico, mia madre è del Salvador.
f_dis036bit;Né l'uno né l'altro è il Messico.;italian;disgust; Nell'uno nell'altro è il Messico.
f_dis037ait;Non lo so. Non è malata?;italian;disgust; Non lo so. Non è malata?
f_dis038ait;I malati a volte inventano le cose se non sbaglio.;italian;disgust; malati a volte inventano le cose se non sbaglio.
f_dis039ait;Una donna che aveva in cura ha ucciso il marito.;italian;disgust; Una donna che avevi in cura ha ucciso il marito.
f_dis048ait;Una benda per gli occhi.;italian;disgust; Una benda per gli occhi.
f_dis106ait;Oh smettila mamma. Ti farai venire una emorragia nasale.;italian;disgust; Smetti la mamma, ti farei venire un'emorragia a Nazar.
f_dis107ait;Me lo ricordi tutti i santi giorni.;italian;disgust; me lo ricordi tutti i santi giorni.
f_dis108ait;Non era una domanda.;italian;disgust; Non era una domanda?
f_dis109ait;Qualcuno ha una sigaretta?;italian;disgust; Qualcuno ha una sigaretta?
f_dis150ait;E tu puoi fare qualsiasi cosa, giusto?;italian;disgust; e tu puoi fare qualsiasi cosa, giusto?
f_dis189ait;Poteva anche salire il tuo amico gli facevo un caffé.;italian;disgust; poteva anche salire il tuo amico e gli faceva un caffè?
f_dis190ait;Non sarà un novantotto ma sono ancora.;italian;disgust; Non sarà un 98 ma sono ancora qui.
f_dis191ait;In Texas non lo bevono il caffè?;italian;disgust; In Texas non lo bevono il caffè?
f_dis192ait;Larry, perché non te ne vai adesso.;italian;disgust; Clark, perché non te ne vai adesso?
f_dis219ait;Certo che lo so.;italian;disgust; Certo che lo so.
f_gio002ait;Sono guarita.;italian;happiness; Sono guarita.
f_gio011bit;Congratulazioni!;italian;happiness; Congratulazioni!
f_gio012ait;Bene, grazie Signor Burton.;italian;happiness; Bene, grazie signora Bartonio.
f_gio014ait;Sai che sorpresa.;italian;happiness; Sai che sorpresa!
f_gio019ait;Fantastica! È veramente grandiosa. Perfetto.;italian;happiness; Fantastico! È veramente grandioso! Perfetto!
f_gio030ait;Sei proprio tu!;italian;happiness; Sei proprio tu!
f_gio034ait;A volte, ma un po' più silenziosamente.;italian;happiness; A volte, ma un po' più silenziosamente.
f_gio038ait;No, mi serve un lottatore con una laurea.;italian;happiness; No, mi serve un lottatore con una laurea.
f_gio045ait;È meraviglioso.;italian;happiness; È meraviglioso!
f_gio047ait;Al contrario.;italian;happiness; Al contrario.
f_gio100ait;Nessuno mi fa ridelle come te.;italian;happiness; Nessuno mi fa ridere come te!
f_gio101ait;Ciao papá.;italian;happiness; Ciao, papà!
f_gio103ait;Ho ordinato le partecipazioni due settimane fa.;italian;happiness; Ho ordinato le partecipazioni due settimane fa.
f_gio106ait;Forse dovresti solo, come dire.;italian;happiness; Forse dovresti solo com'è dire?
f_gio108ait;Tu e mio figlio portate la stessa taglia.;italian;happiness; Tu e mio figlio portate la stessa taglia!
f_gio109ait;Oh, mi scusi io … mi scusi.;italian;happiness; No, mi scusi, mi scusi.
f_gio110ait;Ah mio dio Peter, siamo stati bambini in queste stanze.;italian;happiness; Ah, mio Dio, Peter, siamo stati bambini in queste stanze!
f_gio111ait;È sempre stato il mio nome preferito.;italian;happiness; Adesso è sempre stato il mio nome preferito!
f_gio112ait;E solo che … ;italian;happiness; Eh solo che... beh!
f_gio113ait;Che splendida idea.;italian;happiness; Di splendida idea!
f_gio115ait;Ah questa casa! È questa casa che mi prende.;italian;happiness; Questa casa! È questa casa che mi prende!
f_gio115bit;Uno che lavora qui mi sembra un po' strano.;italian;happiness; uno che lavora qui mi sembra un po' strano.
f_gio116ait;Qui c'è qualcosa che mi ricorda la bambina che ero e che non mi ha mai abbandonata.;italian;happiness; Qui c'è qualcosa che mi ricorda la bambina che ero e che non mi ha mai abbandonata.
f_gio116bit;Di quei che parlavano in latino.;italian;happiness; Dicco anche parole in latino.
f_gio117ait;Non cominciare a vantarmi le meraviglie di quella schifezza. Io ti odiavo allora.;italian;happiness; Non cominciare a vantarmi le meraviglie di quella squinzietta. Io ti odiavo allora.
f_gio120ait;Oh, credevo parlarsi del giudice.;italian;happiness; Credevo parlassi del giudice.
f_gio122ait;Avevo ragione.;italian;happiness; Avevo ragione!
f_gio123ait;Grazie tante.;italian;happiness; Grazie tanto!
f_gio125ait;Avanti, calmati.;italian;happiness; Avanti, Calmatica.
f_gio126ait;Sei splendente come un panno illustrato.;italian;happiness; Sei splendente come un penne illustrato!
f_gio133ait;Credevo che fossi prestato ad un amore tempestoso.;italian;happiness; Credevo che fossi presa da un amore tempestoso!
f_gio134ait;Mio Dio guarda, mi sono ricoperta.;italian;happiness; Mio Dio, guarda mi sono ricoperta, ricoperta!
f_gio136ait;CioÈ, tutto qua.;italian;happiness; tutto qua.
f_gio162bit;No!  Sí! ;italian;happiness; no! sì!
f_gio189ait; bene.;italian;happiness; Be'
f_gio200ait;Stai arteggiando qualcosa.;italian;happiness; Stai architettando qualcosa?
f_gio203ait;È un fochettone da cucina.;italian;happiness; È un pochettone da cucina!
f_gio218ait;Che cosa hai detto.;italian;happiness; Che cosa è questo?
f_gio219ait;Solo le bimbettine con i boccoli d'oro.;italian;happiness; solo le bimbettine con il boccolino d'oro.
f_gio344ait;Buon compleanno!;italian;happiness; Buon compleanno!
f_rab002ait;Bastardo!;italian;anger; BASTARDO!
f_rab008ait;Un dovere come questo Leonard non esiste.;italian;anger; Un dovere come questo, Leonard, non esiste.
f_rab009ait;Sono dovunque si prendono cura di me dei dottori che mi comunicano cosa è meglio nel mio interese.;italian;anger; Sono dovunque si prendono cura di me e dei dottori che mi comunicano cosa è meglio nel mio interesse.
f_rab010ait;Io muoio se resto ancora qui.;italian;anger; Io muoio e sarò stancata qui!
f_rab010bit;Dite così. No! questa è la mia!;italian;anger; Ti dico di no, questa è la mia!
f_rab012ait;I giornalisti Inglesi stamattina si svegliano e pensano: ‘Io lo so dove si trova Anna Scott’.;italian;anger; I giornalisti inglesi stamattina si svegliano e pensano io lo so dove si trovano a scottare
f_rab012bit;È in quela casa col portone blue a Notting Hill.;italian;anger; E in quella casa col portone blu a nothing hill
f_rab012cit;E poi te ne vai fori con quelle maledette mutande.;italian;anger; E fai dove hai fori con quelle maledette mutande!
f_rab013bit;Santo Dio. Io ho un fidanzato.;italian;anger; Sant'Oghi, io io ho un fidanzato!
f_rab014ait;E ora da domani ci saranno foto di te su tutti i giornali da qui a Timbuktu.;italian;anger; E ora da domani ci saranno foto tue su tutti i giornali da qui a Timbuktu!
f_rab015ait;Certo, per te una situazione perfetta, vero?;italian;anger; Certo, per te è una situazione perfetta, vero?
f_rab015bit;Minimo imput massima pubblicità.;italian;anger; Minimo input, massima pubblicità!
f_rab015cit;Dovunque andrai la gente dirà. Oh, complimenti a te, sei andato a letto con quell'attrice.;italian;anger; Dovunque andrai la gente dirà, oh, complimenti a te, sei andato a letto con quell'attrice.
f_rab015dit;Abbiamo visto le foto.;italian;anger; abbiamo visto le foto
f_rab037ait;Ti rendi conto ch’è la cosa più preziosa che possediamo.;italian;anger; Ti rendi conto che è la cosa più preziosa che possediamo?
f_rab042ait;Io voglio saperlo adesso, quando diavolo vine casa. Adesso!;italian;anger; Io voglio saperlo adesso quando diavolo viene a casa! Adesso!
f_rab064ait;Non provare a toccarla.;italian;anger; Non provare a toccarla!
f_rab068bit;Corri qualche rischio. Fai qualche errore!;italian;anger; Corri qualche rischio, fai qualche errore!
f_rab070bit;Per scoprire cosa è reale e cosa non lo è. Per scoprire quello che tu provi.;italian;anger; Per scoprire cosa è reale e cosa non lo è, per scoprire quello che tu provi!
f_rab082ait;Niente box fuori casa. Capito.;italian;anger; Niente box fuori casa, capito?
f_rab082bit;Niente box. Punto e basta.;italian;anger; Niente box punta basta!
f_rab083ait;Voi andate a scuola.;italian;anger; Voi andrete a scuola!
f_rab083bit;E andrete all'università e avrete una professione.;italian;anger; e andrete all'università e avrete una professione!
f_rab083cit;Perché non vi farete sfondare il craneo anche voi.;italian;anger; Perché non vi farete sfondare il crani anche voi!
f_rab084ait;Avete capito?;italian;anger; Avete capito?
f_rab084bit;Sono stata chiara?;italian;anger; Sono stata Chiara!
f_rab085bit;Fino ad ora.;italian;anger; fino ad ora.
f_rab087ait;Ma tirati fuori da quell incontro. Rompiti un'altra volta la mano se è necessario.;italian;anger; ma tirati fuori da quell'incontro! Rompiti un'altra volta la mano se necessario!
f_rab089cit;Benché avessi paura io non ho detto niente.;italian;anger; Benché avessi paura io non ho detto niente!
f_rab090ait;Ma io adesso ti dico che il tuo amico lì venderà la nostra chiave a qualche compare.;italian;anger; E adesso ti dico che il tuo amico lì venderà la nostra chiave a qualche compare
f_rab090bit;Voglio vedere se questa volta ti comporti come se non te nefregasse un cazzo.;italian;anger; Voglio vedere se questa volta ti comparti come se non te ne fregasse un cazzo!
f_rab094ait;Che non se ne sta lì a guardare mentre io vengo amonestata.;italian;anger; che non se ne sta lì a guardare mentre io vengo molestata!
f_rab098ait;Non ha proprio senso che stai qui a fare questo tutto il giorno.;italian;anger; Non ha proprio senso che stai qui a fare questo tutto il giorno!
f_rab099ait;Il caso è chiuso.;italian;anger; Il caso è chiuso!
f_rab100ait;I fotografi non ci sono più, i tuoi soci non ci sono più, ora non c'è più neanche la ricerca per il Dentrex.;italian;anger; I fotografi non ci sono più, i tuoi soci non ci sono più, ora non c'è più neanche la ricerca per il Dela Prex.
f_tri001ait;È tutta colpa mia.;italian;sadness; È stata colpa mia.
f_tri002ait;Havrei potuto fermarlo.;italian;sadness; Avrei potuto fermarlo.
f_tri004bit;Si svegliava.;italian;sadness; Si svegliava.
f_tri005ait;E saltava giù dal latto.;italian;sadness; e saltava giù dal lato.
f_tri005bit;Se ne andava in giro.;italian;sadness; se ne andava ingeri.
f_tri006ait;Si svegliava.;italian;sadness; Sì, svegliava.
f_tri007ait;Ed era confuso.;italian;sadness; E era confuso.
f_tri007bit; lo sono.;italian;sadness; Sì, lo so, no.
f_tri008ait;Voglio morire anche io.;italian;sadness; Valle morire anche
f_tri014ait;Io che credevo di essere incinta.;italian;sadness; E io che credo di essere intinta.
f_tri017ait;Una caramella ce l’ha?;italian;sadness; Una caramella ce l'ha.
f_tri018ait;Mami ti manda milioni e milioni di baci.;italian;sadness; Mami ti manda milioni e milioni di baci.
f_tri023ait;Tranne l’unica cosa che volevo.;italian;sadness; l'unica cosa che volevo.
f_tri027ait;Se mai sono preoccupata per Greg se è una cosa che se lui non c’è la fa.;italian;sadness; Se mai sono preoccupata per Riker, una cosa così linda non ce la fa!
f_tri032ait;Al fatto che Katy é morta.;italian;sadness; al fatto che ti amore
f_tri032bit;Ai poveri Anabet e Jimmy ecco.;italian;sadness; Ai, poveriana, a Bettegimi, ecco!
f_tri033ait;Ho preso Michael ieri sera.;italian;sadness; ho preso mai con le ricette.
f_tri033bit;E sono andata in un Hotel.;italian;sadness; e sono andata in un mochile.
f_tri034ait;Non lo so Jimmy.;italian;sadness; non lo sorgiamo.
f_tri040ait;Mi dispiace davvero.;italian;sadness; Mi dispiace davvero.
f_tri040bit;Per le sofferenze terribili che vi ho procurato.;italian;sadness; per le sofferenze terribili che vi ho procurato.
f_tri040cit;Davvero mi dispiace davvero.;italian;sadness; Davvero, mi dispiace davvero.
f_tri041ait;Tutto mi dispiace.;italian;sadness; Anche a me dispiace
f_tri043ait;Non sono mai stati aperti.;italian;sadness; non sono mai state aperti.
f_tri043bit;Non esiste niente.;italian;sadness; Non esiste niente.
f_tri043cit;Non cè nessuna cospirazione John.;italian;sadness; Non c'è nessuna cospirazione, già.
f_tri044ait;Non c’è nessun William Parker. ;italian;sadness; Non c'è nessun William Parcell.
f_tri044bit;Non è reale, è solo nella tua mente.;italian;sadness; Non è reale, è solo nella tua mente.
f_tri045bit;Sei malato.;italian;sadness; Sei malato!
f_tri045cit;Sei malato John.;italian;sadness; Sei malato, John.
f_tri046ait;Ha detto che se tu avessi detto questo …;italian;sadness; ha detto che se tu avessi detto questo.
f_tri046bit;Ha dei documenti per il ricovero coatto da farmi firmare.;italian;sadness; ha dei documenti per il ricovero 4 da farmi firmare.
f_tri049ait;Peró le mie, le mie figlie.;italian;sadness; Però le mie... le mie fine...
f_tri049bit;È così ingiusto per le babine ;italian;sadness; così ingiusto per le bambine e diciamo
f_tri052ait;Comunque non ho …;italian;sadness; Comunque no.
f_tri052bit;Ma in parte molto di quello che scrivono su di me.;italian;sadness; Non mi importa molto di quello che scrivono su di me.
f_tri054ait;Un’alta delusione.;italian;sadness; Un'altra diluzione.
f_tri054cit;Che se ne va.;italian;sadness; che c'è nemmeno
f_tri055ait;Fantastica, sì davvero fantastica.;italian;sadness; Fantastico, davvero fantastico!
f_tri056ait;C'erano questi monaci che cantavano.;italian;sadness; C'erano questi monaci che cantavano.
f_tri056bit;Ma non mi sono imozionata per niente.;italian;sadness; Ma non mi sono emozionata per niente.
f_tri056cit;Capisci?;italian;sadness; Capisce?
f_tri057ait;Niente di più importante. Ti richiamo dopo. Va bene?;italian;sadness; Niente di importante, ti richiamo dopo, va bene?
f_tri071ait;Fiera di tutto ciò che faccio.;italian;sadness; Sì, fiamme, ti coloca fatta.
m_ans002ait;Uno ha cercato di aggredirmi ed io, le ho tirato un pugno e lui mi ha tagliato.;italian;fear; Uno ha cercato di accredirmi e io le ho tirato un pugno e lui mi ha tagliato.
m_ans003ait;Io stavo andando verso la mia macchina.;italian;fear; io stavo andando verso la mia macchina
m_ans003bit;Io dico: Non fumo. Lui dice: Ne anch'io. E allora.;italian;fear; Io dico non fumo e lui dice neanche io e allora...
m_ans003cit;Sento il cuore che si mette a dare mille perchè lì non c’è nessuno oltre a noi due.;italian;fear; Senta il cuore che si mette a darmi, perché lì non ce ne sono altre noi due.
m_ans007ait;Ah il rapinatore, lo so come funziona il tuo cervello, lo so.;italian;fear; Ah, il rapinatore! Lo so come funziona il tuo cervello! Lo so!
m_ans007bit;Io torno a casa tutto insanguinato la notte che Katty viene uccisa.;italian;fear; Io torno a casa, tutto insanguinato, la stessa notte che Cati viene uccisa.
m_ans007cit;E l’assassino sono io vero?;italian;fear; E l'assassino sono io, vero?
m_ans008ait;Io non mi fido più ne anche della mia mente, devo avvertirti.;italian;fear; Io non mi fido più neanche della mia mente. Devo avvertirsi.
m_ans011ait;Cazzo sta succedendo. Dove sono.;italian;fear; Ma che cazzo sta succedendo? Dove sono?
m_ans012ait;Dove diavolo siamo!;italian;fear; Ma dove diavolo siamo?
m_ans013ait;Non lo so.;italian;fear; Lo so! Sì!
m_ans014ait;Perché devo dirti il mio nome?;italian;fear; Perché devo dirti il mio nome?
m_ans014bit;Che cosa ci faccio qui.;italian;fear; E cosa ci faccio qui?
m_ans015ait;Non ricordo niente.;italian;fear; Non ricordo niente!
m_ans015bit;Sono andato al letto nel mio appartamento e mi risveglio in questo posto di merda.;italian;fear; Sono andato a letto nel mio appartamento e mi risveglio in questo posto di merda!
m_ans017ait;Non voglio rischiare di romperlo. Lanciami la cassetta.;italian;fear; Non voglio rischiare di romperlo. Lanciami la cassetta!
m_ans018ait;È solo solo un brutto scherzo, vero?;italian;fear; è solo un brutto scherzo vero?
m_ans020ait;Chi è?!;italian;fear; Chi è?
m_ans020bit;Chi sai?!;italian;fear; CHISSAL!
m_ans020cit;Fatti vedere!;italian;fear; Fatti vedere!
m_ans020dit;Ti ammazzo figlio di puttana!;italian;fear; Ti ammazzo figlio di puttana!
m_ans021ait;Chi è che parla?;italian;fear; Chi è che parla?
m_ans022ait;Piccola sono io. Ti sento.;italian;fear; Sì, piccola, sono io. Ti sento.
m_ans023ait;William io non pensavo di dover fare questo.;italian;fear; William, io non pensavo di dover fare questo.
m_ans024ait; hai svolto un incarico top secret per il governo.;italian;fear; Alicio, ho svolto un incarico top secret per il governo.
m_ans024bit;Esiste la minaccia di un disastro di proporzioni catastrofiche.;italian;fear; Esista la minaccia di un disastro di proporzioni catastrofiche.
m_ans030ait;Con tutto il rispetto, questo è assolutamente ridicolo. Non ha alcun senso!;italian;fear; Con tutto il rispetto questo è assolutamente ridicolo, non ha alcun senso.
m_ans100ait;Accendi la luce!;italian;fear; Accendi la luce!
m_ans101ait;Che cos'è questa puzza tremenda.;italian;fear; Che cos'è questa fuccia tremenda?
m_ans103ait;Ho bisogno di te.;italian;fear; Ho bisogno di te!
m_ans104ait;Ne abbemo paura che fossi morto.;italian;fear; Avevo paura che fossi morto!
m_ans105ait;Mi è successa la stessa cosa anche a me.;italian;fear; È successa la stessa cosa anche a me!
m_ans106ait;Sono stato colpito da scarice elettriche.;italian;fear; Sono stato colpito da scariche elettriche!
m_ans107ait;Aiuto!;italian;fear; AIUTO!
m_ans107bit;Qualcuno mi aiuti!;italian;fear; qualcuno mi aiuti!
m_ans112ait;Sì, si chiama Sed.;italian;fear; Si, si chiama Z
m_ans114ait;Che stà succedendo.;italian;fear; Che sta succedendo?
m_ans115ait;Eh, solo solo il greletto.;italian;fear; solo il grilletto
m_ans119ait;Era un lupo mannaro.;italian;fear; E non lo pamanerò.
m_ans120ait;Io non ho ucciso Katty.;italian;fear; Io non ho ucciso, che ti...
m_ans122ait;Lei stava seduta sopra il letto, e …;italian;fear; Lei stava seduta a spruilletto!
m_ans123ait;Dove sono, nei regno dei morti?;italian;fear; Sono nel regno dei morti!
m_ans124ait;Chi è!;italian;fear; Ghièèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèè
m_ans124bit;Gli ho parlato.;italian;fear; Chi ha parlato?
m_dis001ait;Come quando si dice: Non è una rivolta, è rabbia.;italian;disgust; Come quando si dice non è una rivolta, è rabbia!
m_dis002ait;Gardate questa insignificante squallida cosa.;italian;disgust; Guardate questa insignificante squallida cosa.
m_dis002bit;Qualquno sa dirme in che somiglia alla foto?;italian;disgust; Qualcuno sa dirmi in che somiglia la foto.
m_dis003ait;Aspetta la vediamo.;italian;disgust; Aspetta, vediamo.
m_dis003bit;Quando ho compiuto sei anni il mio miglior amico di allora mi ha ferito con un chiodo arruginito.;italian;disgust; Quando ho compiuto sei anni, il mio migliore amico di allora mi ha ferito con un chiodo arrugginito.
m_dis005ait;Davvero? Eppure lo sbirro pensa che ci sia tu dietro tutto questo.;italian;disgust; Davvero? Eppure lo sbirro pensa che ci sia tu dietro tutto questo.
m_dis007ait;Perché ti arrabbi? Guarda che non me ne frega niente.;italian;disgust; Perché ti arrabbi? Guarda che non me ne frega niente!
m_dis008ait;Lieto di esserle stato d'aiuto.;italian;disgust; Lieto di essere l'estate d'aiuto.
m_dis008bit;Ho un orario di ufficio fisso. Se ci sono ulteriori informazioni che lei habbia bisogno su detti o qualche proverbio.;italian;disgust; Ho un orario di ufficio fisso, se ci sono ulteriori informazioni che le abisognano su detti, qualche proverbio...
m_dis008cit;La mia porta è apertissima.;italian;disgust; La mia porta è apertissima.
m_dis010ait;Magari la prossima volta che va all'ospedale potrebbe portare anche noi.;italian;disgust; Magari la prossima volta che va all'ospedale potrebbe portare anche noi.
m_dis011ait;Bene, nel prenderò nota. C'è altro che posso fare per lei?;italian;disgust; Bene, ne prenderò nota. C'è altro che posso fare per lei?
m_dis013ait;Non includermi ne ho abbastanza delle convocazioni.;italian;disgust; Non includermi, ne ho abbastanza delle convocazioni.
m_dis014ait;Papà starà benissimo. E poi lui a Jou.;italian;disgust; Papà starà benissimo e poi lui a Joe.
m_dis014bit;E sembra che c'è l’abbia anche tu.;italian;disgust; e sembra che ce l'abbia anche tu.
m_dis015ait;Mamma ho molto da fare ti prego.;italian;disgust; Mamma, ho molto da fare, ti prego.
m_dis015bit;Non ho tempo per aiutare questo coso a intentare una causa ridicola e inutile.;italian;disgust; Non ho tempo per aiutare questo coso a intentare una causa ridicola e inutile.
m_dis016ait;Questa è la mutazione mamma. Il miracolo della genetica è che non sono te.;italian;disgust; Beh, questa è la mutazione, mamma. Il miracolo della genetica è che non sono te.
m_dis018bit;Io vivo con te a so quanto studi o dovrei dire non studi. Eppure vai meglio di me.;italian;disgust; Io vivo con te e so quanto studi, o dovrei dire non studi. Eppure vai meglio di me.
m_dis019ait;Lasciamo perdere.;italian;disgust; Lasciamo perdere.
m_dis020bit;Perché più apprendo e più potrò avere la risposta giusta al momento giusto e salvare delle vite.;italian;disgust; più apprendo e più potrò avere la risposta giusta al momento giusto e salvare delle vite.
m_dis021ait;Ma chiedi a chi ti pare.;italian;disgust; Ma chiedi a chi ti pare.
m_dis021bit;Se vogliono avere uno stronzo al loro fianco.;italian;disgust; Se vogliono avere uno stronzo al loro fianco...
m_dis023bit;È perché tuo padre era dottore e suo padre era dottore?;italian;disgust; è perché tuo padre era dottore e suo padre era dottore
m_dis023cit;È una cosa genetica?;italian;disgust; è una cosa genetica ?
