file_name;transcription;language;emotion;model_transcription;model_emotion
f_tri005ben;And walk about.;english;sadness; I'm Wookaboo.;happiness
f_tri006aen;He could open the baby gate.;english;sadness; He could open the baby gate.;disgust
f_tri009aen;Will this just go on and on?;english;sadness; Will it just go? No, no.;anger
f_tri032cen;Those things.;english;sadness; those things.;disgust
f_tri039aen;Briony, there isn't much time.;english;sadness; There isn't much time.;sadness
f_tri039ben;Robbie has to report for duty at six.;english;sadness; My best report for duty at six.;happiness
f_tri039cen;And he's got a train to catch.;english;sadness; He's got a train to catch.;sadness
f_tri040aen;I'm very, very sorry.;english;sadness; I'm very, very sorry.;sadness
f_tri040ben;For the terrible distress that I've caused.;english;sadness; Is it terrible distress that I've caused?;fear
f_tri040cen;I'm very, very sorry.;english;sadness; I'm very, very sorry.;sadness
f_tri046aen;He said that if you said that ...;english;sadness; He said that if he said that.;anger
f_tri046ben;He has commitment papers for me to sign.;english;sadness; He has commitment papers for me to sign.;happiness
f_tri047aen;Would you have hurt me, John?;english;sadness; But you've hurt me, John.;sadness
f_tri049aen;But my, my girls, I just ...;english;sadness; But my girls, I just...;disgust
f_tri055aen;It's great here, it's really great. [non-verbal];english;sadness; It's great here, it's really great.;happiness
f_tri055ben;I don't know, I went to this shrine today.;english;sadness; I don't know why I went to this shrine today.;disgust
f_tri056aen;There were these monks and they were chanting.;english;sadness; There were these monks and they were chanting.;disgust
f_tri056ben;And ... I didn't feel anything.;english;sadness; and I didn't feel anything.;sadness
f_tri057aen;Nothing, it's okay. I'll call you later, okay?;english;sadness; Nothing, it's okay. I'll call you later, okay?;anger
f_tri071aen;Do I make her proud?;english;sadness; Do I make her proud?;disgust
f_tri081aen;Jim, you didn't see.;english;sadness; gem you didn't see.;disgust
f_tri081ben;You weren't here.;english;sadness; You weren't here.;sadness
f_tri091ben;You would take me there with you.;english;sadness; you would take me now with you.;happiness
f_tri094aen;I only wish I were part of it.;english;sadness; I only wish I were part of it.;sadness
f_tri095ben;Then we must end this.;english;sadness; Then we must end this.;anger
f_tri096aen;Without that family, you could never have written anything like this.;english;sadness; Without that family you could never have written anything like this.;anger
f_tri096ben;You need them.;english;sadness; You need them.;anger
m_ans001aen;It just bled like hell.;english;fear; It just, it just played like hella.;disgust
m_ans002aen;This guy tried to mug me and I swung on him and he sliced me.;english;fear; This guy tried to mug me and swung on him and sliced me.;disgust
m_ans003aen;So I'm walking to my car.;english;fear; So I'm walking to my car.;fear
m_ans003ben;I say I don't smoke. He says neither does he.;english;fear; He said, I don't smoke. He says, neither do they.;disgust
m_ans003cen;My heart starts clocking a buck fifty because there is no one around but me and him.;english;fear; My heart starts clocking a buck fifty because there's no one around but me and him.;sadness
m_ans007aen;The mugger! I see how your mind's working.;english;fear; Yeah, the market, I see how your minds work.;happiness
m_ans007ben;I come home with blood on me the same night Katie's murdered.;english;fear; I think I'm home with blood on me the same night Katie's murdered.;fear
m_ans007cen;I must have killed her, right?;english;fear; I must've killed her, right?;anger
m_ans008aen;I can't trust my mind anymore, Celeste. I'm warning you.;english;fear; I can't trust my mind anymore, Celeste. I'm warning you.;fear
m_ans013aen;I don't know.;english;fear; I don't know.;disgust
m_ans014aen;My name is Very Fucking Confused. What's your name?;english;fear; My name is very fucking confused! What's your name?;disgust
m_ans014ben;What's going on here?;english;fear; What's going on here?;anger
m_ans015ben;I went to bed in my shithole apartment and woke up in an actual shithole.;english;fear; I went to bed in my shithole apartment and woke up in an actual shithole.;disgust
m_ans016aen;This is what they do man. They kidnap you and drug you.;english;fear; This is what they do, man. They kidnap you and drug you.;anger
m_ans016ben;Before you know it, you're lying in a bathtub and your kidneys are on eBay.;english;fear; you know what you're lying in a bathtub and your kidneys are on ebay.;disgust
m_ans017aen;I'm not gonna risk breaking it. You throw me your tape!;english;fear; I'm not gonna risk breaking it. You throw me your tape.;fear
m_ans018aen;Probably a joke, right?;english;fear; Probably a joke, right?;happiness
m_ans020aen;Who is that?!;english;fear; Who is that?;anger
m_ans020ben;Who's in there?!;english;fear; Who's in there?;anger
m_ans020cen;Come out!;english;fear; Come out!;happiness
m_ans020den;I'll kill you, you motherfucker!;english;fear; I'll kill you, you motherfucker!;anger
m_ans021aen;Who is this?;english;fear; Who is this?;anger
m_ans022aen;Yeah baby, it's me. I'm here.;english;fear; Yeah, baby, it's me.;disgust
m_ans030aen;With all due respect, this is preposterous! It doesn't make any sense!;english;fear; without due respect, this is preposterous. It doesn't make any sense.;disgust
m_ans101aen;What is that smell?;english;fear; What is that smell?;disgust
m_ans103aen;I need you!;english;fear; I need you!;anger
m_ans103cen;Lawrence, get up!;english;fear; Lawrence! Get up!;happiness
m_ans104aen;Thank God! I thought you were dead!;english;fear; Thank God! I thought you were dead!;disgust
m_ans105aen;I told you. The same thing happened to me, see?;english;fear; I told you, same thing happened to me, see?;anger
m_ans105ben;I wasn't lying, see?;english;fear; I wasn't lying, see?;anger
m_ans107aen;Help! Someone help me!;english;fear; Help! Someone help me!;fear
m_ans123aen;Probably dead.;english;fear; Probably dead.;sadness
m_ans124aen;Who's that?;english;fear; Who's that?;anger
m_ans124ben;Who's that?;english;fear; Who's that?;anger
m_ans150aen;Lawrence, get up!;english;fear; LARTS GET UP!;happiness
m_dis001aen;You know it's like saying: 'It's not a riot, it's rage. It's not crime, it's poverty.';english;disgust; You know, it's like saying, it's not a riot, it's rage. It's not crime, it's poverty.;anger
m_dis002aen;Look at this sorry, miserable, squashed thing.;english;disgust; Look at this sorry, miserable squash thing.;sadness
m_dis002ben;Can anybody tell me what's wrong with this picture?;english;disgust; Can anybody tell me what's wrong with this picture?;disgust
m_dis003aen;Well, [non-verbal], let's see.;english;disgust; Well, let's see.;disgust
m_dis003ben;On my sixth birthday, my best friend at the time, Scott Tibbs, stabbed me with a rusty nail.;english;disgust; On my sixth birthday, my best friend at the time, Scott Tibbs, stabbed me with a rusty nail.;anger
m_dis004aen;What I saw was you get into your car. That's it.;english;disgust; What I saw was you getting to your car, that's it.;disgust
m_dis004cen;I don't know how I got here, I don't know how you got here.;english;disgust; I don't know how I got here, I don't know how you got here.;disgust
m_dis005aen;Really? Obviously this cop thinks you are the one behind it all.;english;disgust; Really? Obviously, this cop thinks you're the one behind it all.;disgust
m_dis008ben;I keep regular office hours if there's any further information you might need on sayings, common phrases ...;english;disgust; I keep regular office hours if there's any further information you might need on sayings, common phrases.;sadness
m_dis008cen;My door's wide open.;english;disgust; My door's wide open.;fear
m_dis011aen;Well, I'll make a note of it. Anything else I can do for you?;english;disgust; Well, I'll make a note of it. Anything else I can do for you?;disgust
m_dis013aen;You include me out. I've had enough of the convocations.;english;disgust; You include me out, I've had enough of the convocations.;disgust
m_dis014aen;And it seems you do too.;english;disgust; And it seems you do too.;sadness
m_dis015aen;Mother, I'm a very busy man.;english;disgust; Mother, I'm a very busy man.;sadness
m_dis015ben;I do not have time to help ... it pursue some ridiculous lawsuit.;english;disgust; I do not have time to help it pursue some ridiculous lawsuit.;anger
m_dis016aen;Well, that's mutation, Mother. The miracle of genetics is I'm not you.;english;disgust; Well, that's mutation, mother. The miracle of genetics is, I'm not you.;disgust
m_dis017aen;So you'd be gone for quite a long time.;english;disgust; So you'd be gone for quite a long time.;disgust
m_dis018ben;I live with you. I know how much you study, or I should say don't study. And you do better than me.;english;disgust; I live with you, I know how much you study, or I should say don't study. And you do better than me.;anger
m_dis020aen;I will save lives that could have otherwise not been saved.;english;disgust; I will save lives that could have otherwise not been saved.;happiness
m_dis021aen;You know, maybe I am. But you ask the average person ...;english;disgust; You know, maybe I am, but you ask the average person.;disgust
m_dis021ben;When death comes knocking at their door ... whether they want a prick on their side.;english;disgust; When death comes knocking at their door, whether they want a prick on their side.;fear
m_dis023ben;Is it because your father was a doctor and his father was a doctor, some sort of genetic thing?;english;disgust; is because your father was a doctor and his father was a doctor, some sort of genetic thing.;disgust
m_dis027ben;People are good. Trust people?;english;disgust; People are good. Trust people.;disgust
m_dis031ben;Maybe you got a bunch of fat and happy fighters at home ... can afford to rest a month between bouts. I don't know. Lucky you! ;english;disgust; Maybe you got a bunch of fat and happy fighters at home can afford the rest of month between bouts. I don't know. Lucky yeah!;happiness
m_dis035aen;Saddam. His, his name's Saddam? Well that's, that's real good Bruce.;english;disgust; Saddam. His name's Saddam. Oh, that's real good, Bruce.;happiness
m_dis044aen;I misplaced an important complaint. That's their story.;english;disgust; I misplaced an important complaint. That's their story.;anger
m_dis044ben;Wanna hear mine?;english;disgust; Wanna hear mine?;sadness
m_gio001aen;He's an idiot.;english;happiness; He's an idiot.;anger
m_gio001ben;He's always been an idiot.;english;happiness; He's always been an idiot.;anger
m_gio002aen;Great. Thanks.;english;happiness; Great, thanks.;happiness
m_gio002ben;Wish me luck.;english;happiness; Wish me luck.;sadness
m_gio003aen;On for a video fest tonight?;english;happiness; On for a video fest tonight?;happiness
m_gio003ben;I got some absolute classics.;english;happiness; I got some absolute classics.;happiness
m_gio005aen;Come on, one dance!;english;happiness; Come on, one dance.;anger
m_gio010aen;You told me every other fucking thing.;english;happiness; You told me every other fucking thing.;anger
m_gio014aen;Everybody has their own idea of what they think paradise is. [non-verbal];english;happiness; Everybody has their own idea what they think paradise is.;anger
m_gio018aen;Relax, it's okay. There is no point in being nuts if you can't have a little fun.;english;happiness; Relax, it's okay. There's no point in being nuts if you can't have a little fun.;happiness
m_gio022aen;Gee, I love you guys.;english;happiness; Gee, I love you guys.;happiness
m_gio023aen;For the first time in eighteen years I'm going to be able to call the shots in my own life. Oh my God!;english;happiness; For the first time in 18 years I'm going to be able to call the shots in my own life. Oh my god!;happiness
m_gio034aen;Well, as often as they can.;english;happiness; Well, as often as they can.;happiness
m_gio041aen;Jesus H. Christ!;english;happiness; Jesus, say it's Christ.;disgust
m_gio041ben;Jesus, Mary and Joseph!;english;happiness; Jesus, Mary and Joseph!;anger
m_gio046aen;You know, I might as well get an Ahooga horn and chase him around the ring.;english;happiness; You know, I might as well get in the Oglehorn and chase him around the ring.;anger
m_gio049aen;You think because of that, the audience won't recognize him as being a black man?;english;happiness; You think because of that, the audience won't recognize him as being a black man?;disgust
m_gio058aen;Mr. Wheeler, you are magnificent.;english;happiness; Mr. Wheeler, you are magnificent.;happiness
m_gio062aen;I get your logic. Demi-capu coming right up.;english;happiness; Gecologic, Demi Capu coming right up.;happiness
m_gio100aen;That's some of the best shit I've ever heard come out of your mouth.;english;happiness; That's one of the best shit I've ever heard come out of your mouth.;disgust
m_gio101aen;Give the guy a break.;english;happiness; Give the guy a break.;disgust
m_gio102aen;I don't know. The girls like it.;english;happiness; I don't know, the girls like it.;disgust
m_gio103aen;Is that any way to talk to a guest? A friend of the family?;english;happiness; Is that any way to talk to a guest, a friend of the family?;disgust
m_gio105aen;Fucking A. Back from the dead.;english;happiness; fucking A back from the dead.;anger
m_gio106aen;Fifty fucking pounds, man.;english;happiness; 50 fucking pounds, man.;anger
m_gio107aen;I'm telling you, man, this kid is awesome as hell.;english;happiness; I'm telling you, man, this kid is awesome as hell.;happiness
m_gio108aen;I lost count, man.;english;happiness; I lost count, man.;sadness
m_gio108ben;Doesn't matter, man.;english;happiness; Then matter, man.;disgust
m_gio111aen;Make that second most beautiful invention!;english;happiness; Make that second most beautiful invention.;happiness
m_gio129aen;I'd feel a bit of a fool handing it over myself.;english;happiness; I feel a bit of a fool handing that over myself.;sadness
m_gio130aen;[non-verbal] I just use it for clean-up.;english;happiness; I didn't, I just used it for the, for cleanup.;disgust
m_gio135aen;[non-verbal] I gotta go see about a girl.;english;happiness; I gotta go see about it, girl.;disgust
m_gio140aen;Everybody has their own idea of what they think paradise is. [non-verbal];english;happiness; everybody has their own idea what they think paradise is.;anger
m_gio140ben;The wife thinks it's paradise.;english;happiness; Life thinks it's paradise.;happiness
m_gio144aen;So I shared that with you.;english;happiness; Sorry I shared that with you.;sadness
m_gio144ben;And one night it was so loud it woke the dog up.;english;happiness; One night it was so loud it woke the dog up.;disgust
m_gio145aen;Well, like I say, they make me ask. You understand.;english;happiness; Well, like I said, they make me ask. You understand.;anger
m_rab002aen;A walk!;english;anger; I walk.;fear
m_rab002ben;Is that all? Just a walk.;english;anger; Is that all? Just a walk?;disgust
m_rab005den;You've tried to kill yourself twice.;english;anger; You've tried to kill yourself twice!;anger
m_rab006aen;It was done for you!;english;anger; It was done for you!;anger
m_rab006ben;It was done for your betterment!;english;anger; It was done for your betterment!;anger
m_rab006cen;It was done out of love!;english;anger; It was done out of love!;anger
m_rab010ben;And it fucking pisses me off!;english;anger; And he fucking pisses me off!;anger
m_rab021aen;Shut the fuck up!;english;anger; THE FUCK UP!;anger
m_rab021ben;This is my daughter I'm talking about!;english;anger; This is my daughter I'm talking about!;anger
m_rab021cen;Everybody shut up!;english;anger; Everybody shut up!;anger
m_rab021den;Shut up!;english;anger; SHUT UP!;anger
m_rab022aen;Why the hell did you think I was there?;english;anger; Why the hell did you think I was there?;anger
m_rab027aen;Tell me, I'm asking: 'What is there to understand?';english;anger; Tell me, I'm asking, what is that to understand?;fear
m_rab050aen;Why do you think he does that, Gerry? Do you have any fucking clue why?;english;anger; Why do you think he does that, Jerry? Do you have any fucking clue why?;anger
m_rab055aen;It's not about you, you mathematical dick!;english;anger; It's not about you, you mathematical dick!;anger
m_rab055den;He is a good kid!;english;anger; He's a good kid!;happiness
m_rab064aen;Did you hear me? Shut up!;english;anger; Did you hear me? Shut up!;anger
m_rab067aen;Now you either tell me what is really going on or I'll cut you with this, you hear me? I'll cut ...;english;anger; Now you either tell me what is really going on or I'll cut you with this, you hear me? I'll cut-;anger
m_rab070aen;Well then don't keep me in the dark about what you're thinking!;english;anger; Well then don't keep me in the dark about what you're thinking!;anger
m_rab072aen;Does that mean you saw what happened to me?;english;anger; Does that mean you saw what happened to me?;anger
m_rab084aen;You goddamn well should!;english;anger; In god damn motion!;anger
m_rab085aen;Yes!;english;anger; Yes!;anger
m_rab087aen;I don't care if you love him!;english;anger; I don't care if you love him!;anger
m_rab087ben;I'm telling you!;english;anger; I'm telling you!;anger
m_rab089ben;There's a bus full of dead people!;english;anger; There's a bus full of dead people!;disgust
m_rab090aen;Who? Someone you know?;english;anger; Who? Someone you know?;anger
m_rab092aen;No, you didn't tell me.;english;anger; No, you didn't tell me!;anger
m_rab095aen;I don't like you!;english;anger; I don't like you.;disgust
m_rab096aen;Because you make my effort a joke!;english;anger; Because you make my effort a joke!;anger
m_rab096ben;I want to be a doctor! This isn't a game to me!;english;anger; I wanna be a doctor! This is a game to me!;sadness
m_rab097aen;This isn't playtime!;english;anger; This isn't playtime!;anger
m_rab097ben;This is serious business!;english;anger; This is serious business!;anger
