file_name;transcription;language;emotion;model_transcription;model_emotion;model_emotion_nowhisper
f_dis009ait;Ma guarda che novità.;italian;disgust; Ma guarda che novità!;anger;disgust
f_dis010ait;Voglio dire Vanessa, che anche i pazzi gradirebbero essere invitati.;italian;disgust; Voglio dire Vanessa che anche i pazzi gradirebbero essere invitati.;fear;fear
f_dis016ait;Sì un trionfo.;italian;disgust; Sì, un triunfo!;anger;disgust
f_dis017ait;Sei caduto e hai battuto la testa sul pavimento.;italian;disgust; Se cadute, hai battuto la testa sul pavimento.;fear;fear
f_dis020ait;Qualcun’altro ha un'idea che io possa utilizzare?;italian;disgust; Qualcun altro ha un'idea che io possa utilizzare?;fear;fear
f_dis024ait;Joid, tesoro caro, io ti voglio tanto bene.;italian;disgust; Lloyd, tesoro caro, io ti voglio tanto bene.;sadness;happiness
f_dis024bit;Ma a volte mi viene da chiedermi se tu sia veramente mio figlio.;italian;disgust; ma a volte mi viene da chiedermi se tu sia veramente mio figlio.;fear;fear
f_dis025ait;Sei sempre stato più simile a tuo padre.;italian;disgust; Sei sempre stato più simile a tuo padre.;fear;fear
f_dis026ait;Ti dispiacerebbe dirmi cosa vuoi esattamente?;italian;disgust; Ti dispiacerebbe dirmi cosa vuoi esattamente?;fear;fear
f_dis027ait;Ora lei mi dà la pistola o mi ridà i miei soldi.;italian;disgust; Ora lei mi dà la pistola o mi ridà i miei soldi.;fear;sadness
f_dis027bit;E io preferirei di gran lunga i miei soldi.;italian;disgust; e io preferirei di gran lunga i miei sciolti.;happiness;disgust
f_dis028ait;Me le da per favore?;italian;disgust; Me le dà per favore?;disgust;disgust
f_dis029ait;Oh sì, ci avrebbero sparato in mezzo al boulievard.;italian;disgust; Ah sì, ci avrebbero sparato in mezzo al boulevard!;happiness;sadness
f_dis036ait;Mio padre è del Puerto Rico, mia madre è del Salvador.;italian;disgust; Mio padre è del Portorico, mia madre è del Salvador.;disgust;disgust
f_dis036bit;Né l'uno né l'altro è il Messico.;italian;disgust; Nell'uno nell'altro è il Messico.;fear;fear
f_dis037ait;Non lo so. Non è malata?;italian;disgust; Non lo so. Non è malata?;disgust;disgust
f_dis038ait;I malati a volte inventano le cose se non sbaglio.;italian;disgust; malati a volte inventano le cose se non sbaglio.;disgust;fear
f_dis039ait;Una donna che aveva in cura ha ucciso il marito.;italian;disgust; Una donna che avevi in cura ha ucciso il marito.;sadness;disgust
f_dis048ait;Una benda per gli occhi.;italian;disgust; Una benda per gli occhi.;disgust;disgust
f_dis106ait;Oh smettila mamma. Ti farai venire una emorragia nasale.;italian;disgust; Smetti la mamma, ti farei venire un'emorragia a Nazar.;fear;sadness
f_dis107ait;Me lo ricordi tutti i santi giorni.;italian;disgust; me lo ricordi tutti i santi giorni.;fear;fear
f_dis108ait;Non era una domanda.;italian;disgust; Non era una domanda?;disgust;sadness
f_dis109ait;Qualcuno ha una sigaretta?;italian;disgust; Qualcuno ha una sigaretta?;fear;anger
f_dis150ait;E tu puoi fare qualsiasi cosa, giusto?;italian;disgust; e tu puoi fare qualsiasi cosa, giusto?;happiness;disgust
f_dis189ait;Poteva anche salire il tuo amico gli facevo un caffé.;italian;disgust; poteva anche salire il tuo amico e gli faceva un caffè?;fear;disgust
f_dis190ait;Non sarà un novantotto ma sono ancora.;italian;disgust; Non sarà un 98 ma sono ancora qui.;sadness;sadness
f_dis191ait;In Texas non lo bevono il caffè?;italian;disgust; In Texas non lo bevono il caffè?;disgust;disgust
f_dis192ait;Larry, perché non te ne vai adesso.;italian;disgust; Clark, perché non te ne vai adesso?;anger;disgust
f_dis219ait;Certo che lo so.;italian;disgust; Certo che lo so.;disgust;anger
f_gio002ait;Sono guarita.;italian;happiness; Sono guarita.;disgust;sadness
f_gio011bit;Congratulazioni!;italian;happiness; Congratulazioni!;anger;anger
f_gio012ait;Bene, grazie Signor Burton.;italian;happiness; Bene, grazie signora Bartonio.;happiness;happiness
f_gio014ait;Sai che sorpresa.;italian;happiness; Sai che sorpresa!;sadness;sadness
f_gio019ait;Fantastica! È veramente grandiosa. Perfetto.;italian;happiness; Fantastico! È veramente grandioso! Perfetto!;happiness;happiness
f_gio030ait;Sei proprio tu!;italian;happiness; Sei proprio tu!;anger;anger
f_gio034ait;A volte, ma un po' più silenziosamente.;italian;happiness; A volte, ma un po' più silenziosamente.;fear;fear
f_gio038ait;No, mi serve un lottatore con una laurea.;italian;happiness; No, mi serve un lottatore con una laurea.;sadness;sadness
f_gio045ait;È meraviglioso.;italian;happiness; È meraviglioso!;anger;disgust
f_gio047ait;Al contrario.;italian;happiness; Al contrario.;disgust;disgust
f_gio100ait;Nessuno mi fa ridelle come te.;italian;happiness; Nessuno mi fa ridere come te!;happiness;sadness
f_gio101ait;Ciao papá.;italian;happiness; Ciao, papà!;happiness;happiness
f_gio103ait;Ho ordinato le partecipazioni due settimane fa.;italian;happiness; Ho ordinato le partecipazioni due settimane fa.;disgust;disgust
f_gio106ait;Forse dovresti solo, come dire.;italian;happiness; Forse dovresti solo com'è dire?;fear;fear
f_gio108ait;Tu e mio figlio portate la stessa taglia.;italian;happiness; Tu e mio figlio portate la stessa taglia!;happiness;happiness
f_gio109ait;Oh, mi scusi io … mi scusi.;italian;happiness; No, mi scusi, mi scusi.;disgust;sadness
f_gio110ait;Ah mio dio Peter, siamo stati bambini in queste stanze.;italian;happiness; Ah, mio Dio, Peter, siamo stati bambini in queste stanze!;happiness;sadness
f_gio111ait;È sempre stato il mio nome preferito.;italian;happiness; Adesso è sempre stato il mio nome preferito!;anger;disgust
f_gio112ait;E solo che … ;italian;happiness; Eh solo che... beh!;happiness;fear
f_gio113ait;Che splendida idea.;italian;happiness; Di splendida idea!;happiness;happiness
f_gio115ait;Ah questa casa! È questa casa che mi prende.;italian;happiness; Questa casa! È questa casa che mi prende!;happiness;happiness
f_gio115bit;Uno che lavora qui mi sembra un po' strano.;italian;happiness; uno che lavora qui mi sembra un po' strano.;disgust;disgust
f_gio116ait;Qui c'è qualcosa che mi ricorda la bambina che ero e che non mi ha mai abbandonata.;italian;happiness; Qui c'è qualcosa che mi ricorda la bambina che ero e che non mi ha mai abbandonata.;sadness;sadness
f_gio116bit;Di quei che parlavano in latino.;italian;happiness; Dicco anche parole in latino.;sadness;disgust
f_gio117ait;Non cominciare a vantarmi le meraviglie di quella schifezza. Io ti odiavo allora.;italian;happiness; Non cominciare a vantarmi le meraviglie di quella squinzietta. Io ti odiavo allora.;fear;sadness
f_gio120ait;Oh, credevo parlarsi del giudice.;italian;happiness; Credevo parlassi del giudice.;sadness;sadness
f_gio122ait;Avevo ragione.;italian;happiness; Avevo ragione!;anger;disgust
f_gio123ait;Grazie tante.;italian;happiness; Grazie tanto!;happiness;sadness
f_gio125ait;Avanti, calmati.;italian;happiness; Avanti, Calmatica.;happiness;disgust
f_gio126ait;Sei splendente come un panno illustrato.;italian;happiness; Sei splendente come un penne illustrato!;happiness;happiness
f_gio133ait;Credevo che fossi prestato ad un amore tempestoso.;italian;happiness; Credevo che fossi presa da un amore tempestoso!;anger;anger
f_gio134ait;Mio Dio guarda, mi sono ricoperta.;italian;happiness; Mio Dio, guarda mi sono ricoperta, ricoperta!;anger;fear
f_gio136ait;CioÈ, tutto qua.;italian;happiness; tutto qua.;disgust;disgust
f_gio162bit;No!  Sí! ;italian;happiness; no! sì!;anger;fear
f_gio189ait; bene.;italian;happiness; Be';fear;disgust
f_gio200ait;Stai arteggiando qualcosa.;italian;happiness; Stai architettando qualcosa?;disgust;disgust
f_gio203ait;È un fochettone da cucina.;italian;happiness; È un pochettone da cucina!;anger;disgust
f_gio218ait;Che cosa hai detto.;italian;happiness; Che cosa è questo?;fear;disgust
f_gio219ait;Solo le bimbettine con i boccoli d'oro.;italian;happiness; solo le bimbettine con il boccolino d'oro.;sadness;sadness
f_gio344ait;Buon compleanno!;italian;happiness; Buon compleanno!;happiness;happiness
f_rab002ait;Bastardo!;italian;anger; BASTARDO!;anger;anger
f_rab008ait;Un dovere come questo Leonard non esiste.;italian;anger; Un dovere come questo, Leonard, non esiste.;sadness;sadness
f_rab009ait;Sono dovunque si prendono cura di me dei dottori che mi comunicano cosa è meglio nel mio interese.;italian;anger; Sono dovunque si prendono cura di me e dei dottori che mi comunicano cosa è meglio nel mio interesse.;fear;fear
f_rab010ait;Io muoio se resto ancora qui.;italian;anger; Io muoio e sarò stancata qui!;anger;disgust
f_rab010bit;Dite così. No! questa è la mia!;italian;anger; Ti dico di no, questa è la mia!;anger;anger
f_rab012ait;I giornalisti Inglesi stamattina si svegliano e pensano: ‘Io lo so dove si trova Anna Scott’.;italian;anger; I giornalisti inglesi stamattina si svegliano e pensano io lo so dove si trovano a scottare;fear;fear
f_rab012bit;È in quela casa col portone blue a Notting Hill.;italian;anger; E in quella casa col portone blu a nothing hill;happiness;fear
f_rab012cit;E poi te ne vai fori con quelle maledette mutande.;italian;anger; E fai dove hai fori con quelle maledette mutande!;anger;anger
f_rab013bit;Santo Dio. Io ho un fidanzato.;italian;anger; Sant'Oghi, io io ho un fidanzato!;sadness;sadness
f_rab014ait;E ora da domani ci saranno foto di te su tutti i giornali da qui a Timbuktu.;italian;anger; E ora da domani ci saranno foto tue su tutti i giornali da qui a Timbuktu!;anger;fear
f_rab015ait;Certo, per te una situazione perfetta, vero?;italian;anger; Certo, per te è una situazione perfetta, vero?;fear;anger
f_rab015bit;Minimo imput massima pubblicità.;italian;anger; Minimo input, massima pubblicità!;anger;disgust
f_rab015cit;Dovunque andrai la gente dirà. Oh, complimenti a te, sei andato a letto con quell'attrice.;italian;anger; Dovunque andrai la gente dirà, oh, complimenti a te, sei andato a letto con quell'attrice.;happiness;happiness
f_rab015dit;Abbiamo visto le foto.;italian;anger; abbiamo visto le foto;sadness;disgust
f_rab037ait;Ti rendi conto ch’è la cosa più preziosa che possediamo.;italian;anger; Ti rendi conto che è la cosa più preziosa che possediamo?;fear;fear
f_rab042ait;Io voglio saperlo adesso, quando diavolo vine casa. Adesso!;italian;anger; Io voglio saperlo adesso quando diavolo viene a casa! Adesso!;anger;anger
f_rab064ait;Non provare a toccarla.;italian;anger; Non provare a toccarla!;anger;anger
f_rab068bit;Corri qualche rischio. Fai qualche errore!;italian;anger; Corri qualche rischio, fai qualche errore!;anger;anger
f_rab070bit;Per scoprire cosa è reale e cosa non lo è. Per scoprire quello che tu provi.;italian;anger; Per scoprire cosa è reale e cosa non lo è, per scoprire quello che tu provi!;anger;fear
f_rab082ait;Niente box fuori casa. Capito.;italian;anger; Niente box fuori casa, capito?;disgust;disgust
f_rab082bit;Niente box. Punto e basta.;italian;anger; Niente box punta basta!;anger;disgust
f_rab083ait;Voi andate a scuola.;italian;anger; Voi andrete a scuola!;happiness;happiness
f_rab083bit;E andrete all'università e avrete una professione.;italian;anger; e andrete all'università e avrete una professione!;anger;disgust
f_rab083cit;Perché non vi farete sfondare il craneo anche voi.;italian;anger; Perché non vi farete sfondare il crani anche voi!;anger;anger
f_rab084ait;Avete capito?;italian;anger; Avete capito?;anger;disgust
f_rab084bit;Sono stata chiara?;italian;anger; Sono stata Chiara!;anger;sadness
f_rab085bit;Fino ad ora.;italian;anger; fino ad ora.;disgust;happiness
f_rab087ait;Ma tirati fuori da quell incontro. Rompiti un'altra volta la mano se è necessario.;italian;anger; ma tirati fuori da quell'incontro! Rompiti un'altra volta la mano se necessario!;anger;fear
f_rab089cit;Benché avessi paura io non ho detto niente.;italian;anger; Benché avessi paura io non ho detto niente!;anger;anger
f_rab090ait;Ma io adesso ti dico che il tuo amico lì venderà la nostra chiave a qualche compare.;italian;anger; E adesso ti dico che il tuo amico lì venderà la nostra chiave a qualche compare;fear;fear
f_rab090bit;Voglio vedere se questa volta ti comporti come se non te nefregasse un cazzo.;italian;anger; Voglio vedere se questa volta ti comparti come se non te ne fregasse un cazzo!;anger;fear
f_rab094ait;Che non se ne sta lì a guardare mentre io vengo amonestata.;italian;anger; che non se ne sta lì a guardare mentre io vengo molestata!;fear;disgust
f_rab098ait;Non ha proprio senso che stai qui a fare questo tutto il giorno.;italian;anger; Non ha proprio senso che stai qui a fare questo tutto il giorno!;anger;sadness
f_rab099ait;Il caso è chiuso.;italian;anger; Il caso è chiuso!;happiness;happiness
f_rab100ait;I fotografi non ci sono più, i tuoi soci non ci sono più, ora non c'è più neanche la ricerca per il Dentrex.;italian;anger; I fotografi non ci sono più, i tuoi soci non ci sono più, ora non c'è più neanche la ricerca per il Dela Prex.;anger;anger
f_tri001ait;È tutta colpa mia.;italian;sadness; È stata colpa mia.;disgust;disgust
f_tri002ait;Havrei potuto fermarlo.;italian;sadness; Avrei potuto fermarlo.;happiness;disgust
f_tri004bit;Si svegliava.;italian;sadness; Si svegliava.;sadness;sadness
f_tri005ait;E saltava giù dal latto.;italian;sadness; e saltava giù dal lato.;happiness;disgust
f_tri005bit;Se ne andava in giro.;italian;sadness; se ne andava ingeri.;sadness;sadness
f_tri006ait;Si svegliava.;italian;sadness; Sì, svegliava.;disgust;sadness
f_tri007ait;Ed era confuso.;italian;sadness; E era confuso.;disgust;sadness
f_tri007bit; lo sono.;italian;sadness; Sì, lo so, no.;disgust;sadness
f_tri008ait;Voglio morire anche io.;italian;sadness; Valle morire anche;disgust;disgust
f_tri014ait;Io che credevo di essere incinta.;italian;sadness; E io che credo di essere intinta.;fear;fear
f_tri017ait;Una caramella ce l’ha?;italian;sadness; Una caramella ce l'ha.;happiness;fear
f_tri018ait;Mami ti manda milioni e milioni di baci.;italian;sadness; Mami ti manda milioni e milioni di baci.;sadness;sadness
f_tri023ait;Tranne l’unica cosa che volevo.;italian;sadness; l'unica cosa che volevo.;fear;fear
f_tri027ait;Se mai sono preoccupata per Greg se è una cosa che se lui non c’è la fa.;italian;sadness; Se mai sono preoccupata per Riker, una cosa così linda non ce la fa!;anger;anger
f_tri032ait;Al fatto che Katy é morta.;italian;sadness; al fatto che ti amore;happiness;disgust
f_tri032bit;Ai poveri Anabet e Jimmy ecco.;italian;sadness; Ai, poveriana, a Bettegimi, ecco!;happiness;happiness
f_tri033ait;Ho preso Michael ieri sera.;italian;sadness; ho preso mai con le ricette.;sadness;happiness
f_tri033bit;E sono andata in un Hotel.;italian;sadness; e sono andata in un mochile.;sadness;sadness
f_tri034ait;Non lo so Jimmy.;italian;sadness; non lo sorgiamo.;happiness;sadness
f_tri040ait;Mi dispiace davvero.;italian;sadness; Mi dispiace davvero.;sadness;sadness
f_tri040bit;Per le sofferenze terribili che vi ho procurato.;italian;sadness; per le sofferenze terribili che vi ho procurato.;disgust;disgust
f_tri040cit;Davvero mi dispiace davvero.;italian;sadness; Davvero, mi dispiace davvero.;sadness;sadness
f_tri041ait;Tutto mi dispiace.;italian;sadness; Anche a me dispiace;anger;disgust
f_tri043ait;Non sono mai stati aperti.;italian;sadness; non sono mai state aperti.;sadness;sadness
f_tri043bit;Non esiste niente.;italian;sadness; Non esiste niente.;disgust;disgust
f_tri043cit;Non cè nessuna cospirazione John.;italian;sadness; Non c'è nessuna cospirazione, già.;disgust;disgust
f_tri044ait;Non c’è nessun William Parker. ;italian;sadness; Non c'è nessun William Parcell.;sadness;disgust
f_tri044bit;Non è reale, è solo nella tua mente.;italian;sadness; Non è reale, è solo nella tua mente.;disgust;disgust
f_tri045bit;Sei malato.;italian;sadness; Sei malato!;happiness;sadness
f_tri045cit;Sei malato John.;italian;sadness; Sei malato, John.;happiness;sadness
f_tri046ait;Ha detto che se tu avessi detto questo …;italian;sadness; ha detto che se tu avessi detto questo.;sadness;sadness
f_tri046bit;Ha dei documenti per il ricovero coatto da farmi firmare.;italian;sadness; ha dei documenti per il ricovero 4 da farmi firmare.;happiness;anger
f_tri049ait;Peró le mie, le mie figlie.;italian;sadness; Però le mie... le mie fine...;happiness;disgust
f_tri049bit;È così ingiusto per le babine ;italian;sadness; così ingiusto per le bambine e diciamo;disgust;fear
f_tri052ait;Comunque non ho …;italian;sadness; Comunque no.;disgust;disgust
f_tri052bit;Ma in parte molto di quello che scrivono su di me.;italian;sadness; Non mi importa molto di quello che scrivono su di me.;fear;disgust
f_tri054ait;Un’alta delusione.;italian;sadness; Un'altra diluzione.;disgust;sadness
f_tri054cit;Che se ne va.;italian;sadness; che c'è nemmeno;disgust;disgust
f_tri055ait;Fantastica, sì davvero fantastica.;italian;sadness; Fantastico, davvero fantastico!;happiness;happiness
f_tri056ait;C'erano questi monaci che cantavano.;italian;sadness; C'erano questi monaci che cantavano.;sadness;sadness
f_tri056bit;Ma non mi sono imozionata per niente.;italian;sadness; Ma non mi sono emozionata per niente.;disgust;disgust
f_tri056cit;Capisci?;italian;sadness; Capisce?;anger;fear
f_tri057ait;Niente di più importante. Ti richiamo dopo. Va bene?;italian;sadness; Niente di importante, ti richiamo dopo, va bene?;disgust;disgust
f_tri071ait;Fiera di tutto ciò che faccio.;italian;sadness; Sì, fiamme, ti coloca fatta.;disgust;disgust
m_ans002ait;Uno ha cercato di aggredirmi ed io, le ho tirato un pugno e lui mi ha tagliato.;italian;fear; Uno ha cercato di accredirmi e io le ho tirato un pugno e lui mi ha tagliato.;anger;anger
m_ans003ait;Io stavo andando verso la mia macchina.;italian;fear; io stavo andando verso la mia macchina;happiness;happiness
m_ans003bit;Io dico: Non fumo. Lui dice: Ne anch'io. E allora.;italian;fear; Io dico non fumo e lui dice neanche io e allora...;fear;disgust
m_ans003cit;Sento il cuore che si mette a dare mille perchè lì non c’è nessuno oltre a noi due.;italian;fear; Senta il cuore che si mette a darmi, perché lì non ce ne sono altre noi due.;anger;fear
m_ans007ait;Ah il rapinatore, lo so come funziona il tuo cervello, lo so.;italian;fear; Ah, il rapinatore! Lo so come funziona il tuo cervello! Lo so!;happiness;happiness
m_ans007bit;Io torno a casa tutto insanguinato la notte che Katty viene uccisa.;italian;fear; Io torno a casa, tutto insanguinato, la stessa notte che Cati viene uccisa.;anger;anger
m_ans007cit;E l’assassino sono io vero?;italian;fear; E l'assassino sono io, vero?;fear;fear
m_ans008ait;Io non mi fido più ne anche della mia mente, devo avvertirti.;italian;fear; Io non mi fido più neanche della mia mente. Devo avvertirsi.;fear;fear
m_ans011ait;Cazzo sta succedendo. Dove sono.;italian;fear; Ma che cazzo sta succedendo? Dove sono?;disgust;disgust
m_ans012ait;Dove diavolo siamo!;italian;fear; Ma dove diavolo siamo?;disgust;anger
m_ans013ait;Non lo so.;italian;fear; Lo so! Sì!;happiness;disgust
m_ans014ait;Perché devo dirti il mio nome?;italian;fear; Perché devo dirti il mio nome?;fear;anger
m_ans014bit;Che cosa ci faccio qui.;italian;fear; E cosa ci faccio qui?;anger;happiness
m_ans015ait;Non ricordo niente.;italian;fear; Non ricordo niente!;anger;disgust
m_ans015bit;Sono andato al letto nel mio appartamento e mi risveglio in questo posto di merda.;italian;fear; Sono andato a letto nel mio appartamento e mi risveglio in questo posto di merda!;happiness;sadness
m_ans017ait;Non voglio rischiare di romperlo. Lanciami la cassetta.;italian;fear; Non voglio rischiare di romperlo. Lanciami la cassetta!;anger;sadness
m_ans018ait;È solo solo un brutto scherzo, vero?;italian;fear; è solo un brutto scherzo vero?;anger;fear
m_ans020ait;Chi è?!;italian;fear; Chi è?;fear;anger
m_ans020bit;Chi sai?!;italian;fear; CHISSAL!;anger;anger
m_ans020cit;Fatti vedere!;italian;fear; Fatti vedere!;anger;anger
m_ans020dit;Ti ammazzo figlio di puttana!;italian;fear; Ti ammazzo figlio di puttana!;anger;anger
m_ans021ait;Chi è che parla?;italian;fear; Chi è che parla?;fear;anger
m_ans022ait;Piccola sono io. Ti sento.;italian;fear; Sì, piccola, sono io. Ti sento.;disgust;sadness
m_ans023ait;William io non pensavo di dover fare questo.;italian;fear; William, io non pensavo di dover fare questo.;sadness;sadness
m_ans024ait; hai svolto un incarico top secret per il governo.;italian;fear; Alicio, ho svolto un incarico top secret per il governo.;fear;sadness
m_ans024bit;Esiste la minaccia di un disastro di proporzioni catastrofiche.;italian;fear; Esista la minaccia di un disastro di proporzioni catastrofiche.;fear;fear
m_ans030ait;Con tutto il rispetto, questo è assolutamente ridicolo. Non ha alcun senso!;italian;fear; Con tutto il rispetto questo è assolutamente ridicolo, non ha alcun senso.;anger;anger
m_ans100ait;Accendi la luce!;italian;fear; Accendi la luce!;anger;anger
m_ans101ait;Che cos'è questa puzza tremenda.;italian;fear; Che cos'è questa fuccia tremenda?;fear;happiness
m_ans103ait;Ho bisogno di te.;italian;fear; Ho bisogno di te!;anger;disgust
m_ans104ait;Ne abbemo paura che fossi morto.;italian;fear; Avevo paura che fossi morto!;anger;disgust
m_ans105ait;Mi è successa la stessa cosa anche a me.;italian;fear; È successa la stessa cosa anche a me!;happiness;happiness
m_ans106ait;Sono stato colpito da scarice elettriche.;italian;fear; Sono stato colpito da scariche elettriche!;anger;sadness
m_ans107ait;Aiuto!;italian;fear; AIUTO!;anger;anger
m_ans107bit;Qualcuno mi aiuti!;italian;fear; qualcuno mi aiuti!;anger;anger
m_ans112ait;Sì, si chiama Sed.;italian;fear; Si, si chiama Z;happiness;disgust
m_ans114ait;Che stà succedendo.;italian;fear; Che sta succedendo?;disgust;happiness
m_ans115ait;Eh, solo solo il greletto.;italian;fear; solo il grilletto;happiness;disgust
m_ans119ait;Era un lupo mannaro.;italian;fear; E non lo pamanerò.;disgust;disgust
m_ans120ait;Io non ho ucciso Katty.;italian;fear; Io non ho ucciso, che ti...;disgust;sadness
m_ans122ait;Lei stava seduta sopra il letto, e …;italian;fear; Lei stava seduta a spruilletto!;anger;fear
m_ans123ait;Dove sono, nei regno dei morti?;italian;fear; Sono nel regno dei morti!;fear;disgust
